case,cores,question,move,proxy_change_pct,official_time_change_pct,added_spill_bytes
case_052,2,3,migrate_s28_to1,46.67735265883224,54.8106509519098,0
case_052,2,3,split_s28_cut4_to1,50.566763525479374,58.62046470159721,0
case_052,2,3,swap_s28_s29,52.856813374544245,61.47782501386276,0
case_052,5,1,migrate_s1_to3,0.0,-0.19344970307719755,0
case_052,5,1,split_s3_cut23_to3,0.06558937976763879,7.4523123987763285,0
case_052,5,1,swap_s3_s2,-0.3282668470321326,-0.805290624437649,0
case_052,5,2,migrate_s1_to3,0.03354423261519024,0.007333528894104546,0
case_052,5,2,split_s3_cut23_to3,0.06702307686270448,-0.23711743424269516,0
case_052,5,2,swap_s3_s2,-0.06264205622876773,0.007333528894104546,0
case_052,5,3,migrate_s3_to3,0.035797374300972074,-0.24714317175227318,0
case_052,5,3,split_s3_cut23_to3,0.07152496814522014,-0.2300144370763646,0
case_052,5,3,swap_s3_s2,-0.20969027246477978,0.0954315217657209,0
case_064,2,1,migrate_s0_to1,14.214811040271535,20.3824223924437,0
case_064,2,1,split_s7_cut68_to1,18.48200278454297,23.33122156309393,0
case_064,2,1,swap_s0_s15,20.50410659904587,27.61619535794506,0
case_064,2,2,migrate_s7_to1,5.532697496914696,9.483355358378965,0
case_064,2,2,split_s7_cut68_to1,7.114031876579641,9.124661758227926,0
case_064,2,2,swap_s7_s15,14.466995618121103,18.236737776099687,0
case_064,2,3,migrate_s7_to1,5.607713024802075,9.483355358378965,0
case_064,2,3,split_s7_cut68_to1,7.194394926312997,9.124661758227926,0
case_064,2,3,swap_s7_s15,14.712988511182544,18.236737776099687,0
case_064,5,1,migrate_s0_to3,9.393877689540497,7.61793524106158,0
case_064,5,1,split_s0_cut34_to3,16.545849453607552,13.204853675945749,0
case_064,5,1,swap_s0_s37,9.393877689540497,7.741223801180985,0
case_064,5,2,migrate_s0_to3,4.479449892640908,2.3953796629426316,0
case_064,5,2,split_s0_cut34_to3,9.024714925146448,6.09733005112667,0
case_064,5,2,swap_s0_s37,4.832201173951489,2.4805907971974905,0
case_064,5,3,migrate_s0_to3,4.725758498898269,2.5294788893115205,0
case_064,5,3,split_s0_cut34_to3,9.426016103738256,6.2476226702168125,0
case_064,5,3,swap_s0_s4,5.004283234001994,2.3678204640547706,0
case_071,2,1,migrate_s0_to1,5.317977074676339,-5.504253617392574,0
case_071,2,1,split_s0_cut202_to1,7.890562420549663,3.5483167308950847,0
case_071,2,1,swap_s0_s1,4.918074505484116,-6.827601250636228,0
case_071,2,2,migrate_s5_to0,3.9028955642943064,7.541534440918429,0
case_071,2,2,split_s7_cut142_to0,6.856748791120371,11.05096135896957,0
case_071,2,2,swap_s9_s8,-0.4646695181721894,5.254806794847866,0
case_071,2,3,migrate_s5_to0,5.280448628258649,7.54223840194157,0
case_071,2,3,split_s7_cut142_to0,7.333863150471798,11.051992905815355,0
case_071,2,3,swap_s9_s8,-1.1736195838323749,4.321851955568001,0
case_071,5,1,migrate_s10_to3,1.8549679025436028,-1.9988577955454057,0
case_071,5,1,split_s15_cut76_to3,7.52763147279496,3.19817247287264,0
case_071,5,1,swap_s15_s19,0.0,0.0,0
case_071,5,2,migrate_s0_to3,1.7361663447335474,-2.074637859071937,0
case_071,5,2,split_s9_cut32_to3,7.755936825360754,-0.23324330959980655,0
case_071,5,2,swap_s0_s13,10.882096731432034,-4.394794991406825,0
case_071,5,3,migrate_s0_to4,-3.4428306175924295,0.06697923643670389,0
case_071,5,3,split_s9_cut32_to3,2.7140055876585745,6.215673141326183,0
case_071,5,3,swap_s0_s23,4.127694772704937,9.511051574012065,0
case_093,2,1,migrate_s0_to1,1.440704586091912,1.7601532368700434,0
case_093,2,1,split_s2_cut137_to1,39.70183153723481,45.41971889317422,0
case_093,2,1,swap_s0_s1,0.0,0.0,0
case_093,2,2,migrate_s0_to1,1.320527469812549,-0.5719532992260246,0
case_093,2,2,split_s2_cut137_to1,42.2889966338285,45.95041322314049,0
case_093,2,2,swap_s0_s1,0.0,0.2518693427784324,0
