case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error,speedup
case_016,3,ok,2884306,4872,398090,0,c982608b71fb254199bb203da2d26c471492fa6ba692e5dec44a1a8f9f2c7677,6.3740567000058945,,2.6750015428321405
case_016,4,ok,2397915,17068,410286,0,469d2276935dd704df388b95ff3abcf6a0547b641433258bc52e93c39257a568,8.32356129999971,,3.217596536991511
case_016,5,ok,2393034,19504,412722,0,f420d7ece606cbac254c766df5733df62f18baac072f9d9eb738f8971295f810,8.315377399994759,,3.22415937257891
case_017,2,ok,87680,87552,731414,0,fb4234eb79cb9776f6809c25c23e0f6b1f25f9cd1626e4902b969545adc86e4f,0.19625079999968875,,1.8568658759124088
case_017,3,ok,58579,175104,818966,0,939ff3a4d27d9ed90e96868e1cf7c3c897a7472719e5f9e7f62bcfd746bbb550,0.18087240000022575,,2.7793236484064257
case_017,4,ok,42384,259200,903062,0,624c2650a99c8e5c86b66c7407c8e9304e3edb115ece711e95b2996112fc6618,0.19728439999744296,,3.841308040770102
case_017,5,ok,35496,340992,984854,0,20dc89e18ca5224f0a2d7646898a26081d6c5c8d1c387c02dfbdc0d75d3e4764,0.21091540000634268,,4.586713995943205
case_018,2,ok,505349,3044352,4637200,1597440,2976cbe923b029254f6da1a3e467e469ce789817dd0f10b732d4f5f714a9e395,0.5740303999918979,,1.9874720242842074
case_018,3,ok,338272,3867008,5459856,1392640,2c7ed5715fdf16fbde91f50ed023736e25d0c3ff196f929df585a02676d6f650,0.5139405000081751,,2.969110656513102
case_018,4,ok,258133,4853504,6446352,1204224,7786ede4c26abf5267fa3c1723428c617faaf69053a51c51889ba51f97f416ae,0.5247254999994766,,3.89088958017766
case_018,5,ok,203865,5693440,7286288,1064960,d71d2a1e4d48793f2e7cece2cbbd0ed53ea4cd83af2d3bb69c9bab39a2f964ce,0.5612535000109347,,4.926627915532338
case_019,2,ok,43224,27168,214152,0,f46ac1d892c5d3fa5efb74b540f9de422c49853a56d2b27192698d99d756edae,0.06501660001231357,,1.8772903942254304
case_019,3,ok,29121,24576,211560,0,305e3def02e2fae644f43b258f68b5da32d242e605546aadd739e4296f57073a,0.07020889999694191,,2.7864427732564128
case_019,4,ok,24099,51744,238728,0,aef6ab9e6f39ee8cc12fbb6feb991deca40f0c83cb2b0250ebb305370f9a9620,0.07095170000684448,,3.3671106684924688
case_019,5,ok,24169,73728,260712,0,cfa13fc39f09a823398dfb0fd47d69c36fa90d41ae9bac0b614d7d4fcb34a2bd,0.07757290000154171,,3.357358599859324
case_020,2,ok,266580,0,2359296,0,d1fb4a5b486caa40baadebfaa21e02143d89cb3d98c603aa82206af6390eb8db,1.4193086000013864,,1.9984469952734638
case_020,3,ok,177950,0,2359296,0,1ea58429fc5576c78ca0aee8feaa45e4ad843ae064854985e72d1369d47d2731,1.1711497999931453,,2.993796010115201
