version,phase,case,cores,source_sha256,tensor_id,size_bytes,start_event,start_cycle,end_event,end_cycle,evicted
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004379,18432,3843,446946,4011,474540,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004357,6144,3846,447152,4018,475854,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004373,6144,3847,447152,4018,475854,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004395,18432,3850,448260,4018,475854,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004411,18432,3851,448260,4019,475854,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004389,6144,3854,448466,4026,477168,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004405,6144,3855,448466,4026,477168,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004427,18432,3858,449574,4026,477168,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004443,18432,3859,449574,4027,477168,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004421,6144,3862,449780,4034,478482,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004437,6144,3863,449780,4034,478482,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004459,18432,3866,450888,4034,478482,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004475,18432,3867,450888,4035,478482,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004453,6144,3870,451094,4042,479796,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004469,6144,3871,451094,4042,479796,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004491,18432,3874,452202,4042,479796,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004507,18432,3875,452202,4043,479796,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004485,6144,3878,452408,4050,481110,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004501,6144,3879,452408,4050,481110,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004523,18432,3882,453516,4050,481110,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004539,18432,3883,453516,4051,481110,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004517,6144,3886,453722,4058,482424,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004533,6144,3887,453722,4058,482424,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004555,18432,3890,454830,4058,482424,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004571,18432,3891,454830,4059,482424,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004549,6144,3894,455036,4066,483738,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004565,6144,3895,455036,4066,483738,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004587,18432,3898,456144,4066,483738,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004603,18432,3899,456144,4067,483738,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004581,6144,3902,456350,4074,485052,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004597,6144,3903,456350,4074,485052,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004619,18432,3906,457458,4074,485052,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004635,18432,3907,457458,4075,485052,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004613,6144,3910,457664,4082,486366,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004629,6144,3911,457664,4082,486366,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004651,18432,3914,458772,4082,486366,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004667,18432,3915,458772,4083,486366,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004645,6144,3918,458978,4090,487680,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004661,6144,3919,458978,4090,487680,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004683,18432,3922,460086,4090,487680,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004699,18432,3923,460086,4091,487680,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004677,6144,3926,460292,4098,488994,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004693,6144,3927,460292,4098,488994,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004715,18432,3930,461400,4098,488994,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004731,18432,3931,461400,4099,488994,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004709,6144,3934,461606,4106,490308,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004725,6144,3935,461606,4106,490308,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004747,18432,3938,462714,4106,490308,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004763,18432,3939,462714,4107,490308,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004741,6144,3942,462920,4114,491622,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004757,6144,3943,462920,4114,491622,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004779,18432,3946,464028,4114,491622,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004795,18432,3947,464028,4115,491622,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004773,6144,3950,464234,4122,492936,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004789,6144,3951,464234,4122,492936,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004811,18432,3954,465342,4122,492936,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004827,18432,3955,465342,4123,492936,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004805,6144,3958,465548,4130,494250,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004821,6144,3959,465548,4130,494250,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004843,18432,3962,466656,4130,494250,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004859,18432,3963,466656,4131,494250,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004837,6144,3966,466862,4138,495564,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004853,6144,3967,466862,4138,495564,True
fifo-event-replay-v1,confirmation,case_095,2,d31647a151b0d9c856e7f8ed69d43f1ce3a7524c2557411af2c021c959bb1419,1000004875,18432,3970,467970,4138,495564,True
