case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_002,2,5,trained,mask_band,60297,261945,4.344245982387183,,0.12994780000008177,68cc0892444692289fa41548ff2f48bd0fd70ca3c4efb5eb06411639f2dbe45d
case_005,2,5,component_scalar,component_scalar,95618,95618,1.0,,0.3416446999908658,817de67f7640136b4fd86538641bbb80d53d344cb4c3a7b10571c1d728d5cd2b
case_005,2,5,trained,mask_band,42253,95618,2.2629872435093366,,0.34081279998645186,358bc41cd7d14a4691789ce46c4c4aa5e4ea0053c447f910d3fc41ce7231fe0d
case_012,2,5,component_scalar,component_scalar,13445,59088,4.3947936035701005,,0.14586029999190941,b650d02aee835516ff256bf289262837229be51fee83f8c45b9dafcbb0bfa1b4
case_012,2,5,trained,component_scalar,13445,59088,4.3947936035701005,,0.14674250000098255,b650d02aee835516ff256bf289262837229be51fee83f8c45b9dafcbb0bfa1b4
case_050,2,5,component_scalar,component_scalar,108160,149690,1.3839681952662721,,0.4708403999975417,5a1f84d0f47d21a7127b72459dfba2bf4b4717a9e2a13b451768e07b135668a3
case_050,2,5,trained,valley_stage,45359,149690,3.300116845609471,,0.4630370000086259,04981249726083cbc5f65077fc2fde10eac8f7a3a48df3ecf4997637fb89ba56
case_065,2,5,component_scalar,component_scalar,11610,53068,4.5708871662360036,,0.053416299997479655,72ce7b61327a2000204a77d6547aebf5f5ee9e3296a3f117c4e2b7fe5a356143
case_065,2,5,trained,component_scalar,11610,53068,4.5708871662360036,,0.05453779999515973,72ce7b61327a2000204a77d6547aebf5f5ee9e3296a3f117c4e2b7fe5a356143
case_080,2,5,component_scalar,component_scalar,113455,292138,2.574923978669957,,0.09209689999988768,8c6f80bee7f45cb4dfb447432deb2338e807b76a5e382c2fc03468c5f14e8fab
case_080,2,5,trained,component_affinity,97335,292138,3.001366414958648,,0.09431260000565089,d6ea789d57bf11a462f4a4c7ec9ae58a5882532b6d368c808e09320825e2211b
case_002,3,1,component_scalar,component_scalar,261945,261945,1.0,1.0,0.07650529999227729,bdec6b425480ffabf2c343f59ea8219c337056282ac3f5481528e8714ef07349
case_002,3,1,trained,component_scalar,261945,261945,1.0,1.0,0.07506100001046434,bdec6b425480ffabf2c343f59ea8219c337056282ac3f5481528e8714ef07349
case_005,3,1,component_scalar,component_scalar,95618,95618,1.0,1.0,0.19485240000358317,e92aed62cef6d467632ae9ea7255006f98c949f31c43bb4c7f7426a9ee39ec66
case_005,3,1,trained,shared_prefix,96314,95618,0.9927736362314928,1.0,0.1887834999943152,6cefb75cddd0dab25b16235135ec27a9fa0ae6990b30af5665762f3454bbb57e
case_012,3,1,component_scalar,component_scalar,59554,59088,0.9921751687544078,1.0,0.07411710001179017,74d95284e503b59e202fc0b29f22032364123dbe0b409106f8d9c4cb8af53393
case_012,3,1,trained,shared_prefix,55748,59088,1.0599124632273804,1.0,0.07532780000474304,ebbcd857414da884903b74719d336e04f9f41e9a319f80835aef2e9b0f2eb284
case_050,3,1,component_scalar,component_scalar,148740,149690,1.0063869839989243,1.0,0.2601128999958746,543e197d2ba4ceb248ab658bfcfac067acd4a180a59d54516a164b0864c0ee21
case_050,3,1,trained,component_vector_reuse_order,147428,149690,1.0153430827251269,1.0,0.2641781999991508,3608b490836cf117ab69cbca1ac99b4b841db5014c94736ef569ecbd8fa14022
case_065,3,1,component_scalar,component_scalar,52913,53068,1.0029293368359382,1.0,0.042762700002640486,e8aff2b2c3dbf6f5fc7370a9b867ae2929770d0eb8715eef0e0777c699da384c
case_065,3,1,trained,shared_prefix,49394,53068,1.0743815038263758,1.0,0.04312930000014603,a5cc5135c69bdbbc4e4c08e7a54791068fe7b717fb9e8860232384e7e558247d
case_080,3,1,component_scalar,component_scalar,291826,292138,1.0010691302351402,1.0010691302351402,0.07169490000524092,6a708fe679f59584f5e17670d30c086aae324550ee72bba83ad3a75a89b0672c
case_080,3,1,trained,component_scalar,291826,292138,1.0010691302351402,1.0010691302351402,0.06709250000130851,6a708fe679f59584f5e17670d30c086aae324550ee72bba83ad3a75a89b0672c
case_002,3,2,component_scalar,component_scalar,261945,261945,1.0,1.0,0.12916140000743326,a155afff5de91170662de2acad42ee8e1cfdc0287c5d88cfc887e8e9b2dc32c6
case_002,3,2,trained,mask_band,129448,261945,2.0235538594648044,1.0,0.12771929999871645,b85a14a2390afe210e7419fb09ecefb47d5cd784c210623f232ce67d0053075d
case_005,3,2,component_scalar,component_scalar,95618,95618,1.0,1.0,0.3366991999937454,66cb9876e7e39a0fc2ae3dc9f426b4d78ea0af3bbce8ac266fc644b7b8c58af0
case_005,3,2,trained,valley_stage,48208,95618,1.9834467308330568,0.9999792565549287,0.335219300002791,28c9653dca7da9477ccbf547021534ca5c09e32b51f6ed45cfd8f8e5dbef232d
