case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_019,q2,3,ok,29121,186984,211560,24576,,,0.081,
case_019,q2,4,ok,24099,186984,238728,51744,,,0.084,
case_019,q2,5,ok,24169,186984,260712,73728,,,0.104,
case_019,q3,1,ok,81144,186984,186984,0,0.0,0,0.09,
case_019,q3,2,ok,43224,186984,214152,27168,0.13161515357039047,27168,0.086,
case_019,q3,3,ok,29121,186984,211560,24576,0.12057224718880624,24576,0.093,
case_019,q3,4,ok,24099,186984,238728,51744,0.011220973523351054,2592,0.082,
case_019,q3,5,ok,24169,186984,260712,73728,0.06476401296545181,16384,0.082,
case_019,singlecore,1,ok,81144,186984,186984,0,,,0.138,
case_020,q1,2,ok,266580,2359296,2359296,0,,,5.036,
case_020,q1,3,ok,177950,2359296,2359296,0,,,3.375,
case_020,q1,4,ok,133704,2359296,2359296,0,,,2.829,
case_020,q1,5,ok,107650,2359296,2359296,0,,,2.411,
case_020,q2,1,ok,532746,2359296,2359296,0,,,1.877,
case_020,q2,2,ok,266580,2359296,2359296,0,,,1.357,
case_020,q2,3,ok,177950,2359296,2359296,0,,,1.211,
case_020,q2,4,ok,133704,2359296,2359296,0,,,1.087,
case_020,q2,5,ok,107650,2359296,2359296,0,,,1.103,
case_020,q3,1,ok,532746,2359296,2359296,0,0.0,0,2.08,
case_020,q3,2,ok,266580,2359296,2359296,0,0.0,0,1.499,
case_020,q3,3,ok,177950,2359296,2359296,0,0.0,0,1.317,
case_020,q3,4,ok,133704,2359296,2359296,0,0.0,0,1.29,
case_020,q3,5,ok,107650,2359296,2359296,0,0.0,0,1.242,
case_020,singlecore,1,ok,532746,2359296,2359296,0,,,8.779,
case_021,q1,2,ok,3194570,3338240,6512640,3174400,,,3.244,
case_021,q1,3,ok,2144024,3338240,11104256,7766016,,,7.312,
case_021,q1,4,ok,1550324,3338240,7946240,4608000,,,2.077,
case_021,q1,5,ok,1250168,3338240,14770176,11431936,,,7.023,
case_021,q2,1,ok,6567937,3338240,7839744,4501504,,,1.733,
case_021,q2,2,ok,3194570,3338240,6512640,3174400,,,1.278,
case_021,q2,3,ok,2144024,3338240,11104256,7766016,,,1.904,
case_021,q2,4,ok,1550324,3338240,7946240,4608000,,,1.008,
case_021,q2,5,ok,1250168,3338240,14770176,11431936,,,1.687,
case_021,q3,1,ok,6558837,3338240,7839744,4501504,0.5005973715651135,3432448,1.987,
case_021,q3,2,ok,3193634,3338240,6512640,3174400,0.21777777777777776,1204224,1.411,
case_021,q3,3,ok,2142851,3338240,11104256,7766016,0.5459328207203561,5525504,1.448,
case_021,q3,4,ok,1550324,3338240,7946240,4608000,0.0,0,1.096,
case_021,q3,5,ok,1249380,3338240,14770176,11431936,0.5699643493761141,7858176,1.592,
case_021,singlecore,1,ok,6567937,3338240,7839744,4501504,,,5.269,
case_022,q1,2,ok,28333,213686,220598,6912,,,0.615,
case_022,q1,3,ok,19128,213686,227510,13824,,,0.602,
case_022,q1,4,ok,14654,213686,227510,13824,,,0.588,
case_022,q1,5,ok,11828,213686,234422,20736,,,0.578,
case_022,q2,1,ok,56780,213686,213686,0,,,0.277,
case_022,q2,2,ok,28333,213686,220598,6912,,,0.262,
case_022,q2,3,ok,19128,213686,227510,13824,,,0.248,
case_022,q2,4,ok,14654,213686,227510,13824,,,0.253,
case_022,q2,5,ok,11828,213686,234422,20736,,,0.246,
case_022,q3,1,ok,56780,213686,213686,0,0.0,0,0.288,
case_022,q3,2,ok,28333,213686,220598,6912,0.03135376408469871,6912,0.283,
case_022,q3,3,ok,19128,213686,227510,13824,0.060801182245210326,13824,0.258,
