case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,source_strategy,wall_seconds,error
case_060,4,band_w8_k4_trimmed,ok,247623,6748724,692272,band_w8_k4,1.449,
case_061,2,band_w4_k2_trimmed,ok,47105,253592,0,band_w4_k2,0.276,
case_061,3,band_w12_k3_trimmed,ok,30177,136192,0,band_w12_k3,0.244,
case_061,4,band_w8_k4_trimmed,ok,27960,184164,0,band_w8_k4,0.26,
case_062,2,band_w12_k2_trimmed,ok,1430904,227328,0,band_w12_k2,9.473,
case_062,3,band_w12_k3_trimmed,ok,955129,299520,0,band_w12_k3,8.774,
case_062,4,band_w12_k4_trimmed,ok,717090,339456,0,band_w12_k4,7.879,
case_063,2,band_w12_k2_trimmed,ok,537090,99840,0,band_w12_k2,2.175,
case_063,3,band_w12_k3_trimmed,ok,358781,130560,0,band_w12_k3,2.098,
case_063,4,band_w12_k4_trimmed,ok,274106,142848,0,band_w12_k4,1.997,
case_065,2,band_w4_k2_trimmed,ok,27140,303948,0,band_w4_k2,0.178,
case_065,3,band_w8_k3_trimmed,ok,18299,167228,0,band_w8_k3,0.162,
case_065,4,band_w8_k4_trimmed,ok,15421,218440,0,band_w8_k4,0.166,
case_066,2,band_w4_k2_trimmed,ok,203845,1434248,0,band_w4_k2,2.239,
case_066,3,band_w8_k3_trimmed,ok,160661,1741206,0,band_w8_k3,1.433,
case_066,4,band_w8_k4_trimmed,ok,136134,1937724,0,band_w8_k4,1.309,
case_067,2,band_w4_k2_trimmed,ok,32052517,144149888,140428288,band_w4_k2,2.64,
case_067,3,band_w4_k3_trimmed,ok,22532481,140141312,132698112,band_w4_k3,2.158,
case_067,4,band_w4_k4_trimmed,ok,17443433,138147968,126983168,band_w4_k4,1.935,
case_068,2,band_w4_k2_trimmed,ok,221789,1879312,23426,band_w4_k2,1.222,
case_068,3,band_w4_k3_trimmed,ok,181796,2971528,0,band_w4_k3,1.216,
case_068,4,band_w4_k4_trimmed,ok,167256,3466250,0,band_w4_k4,1.347,
case_069,2,band_w8_k2_trimmed,ok,17351,151076,0,band_w8_k2,0.136,
case_069,3,band_w12_k3_trimmed,ok,15715,286660,0,band_w12_k3,0.144,
case_069,4,band_w12_k4_trimmed,ok,14587,290182,0,band_w12_k4,0.134,
case_070,2,band_w4_k2_trimmed,ok,58528,496880,0,band_w4_k2,0.195,
case_070,3,band_w12_k3_trimmed,ok,42239,373256,0,band_w12_k3,0.155,
case_070,4,band_w4_k4_trimmed,ok,33350,811200,0,band_w4_k4,0.205,
case_071,2,band_w12_k2_trimmed,ok,13881,135394,0,band_w12_k2,0.097,
case_071,3,band_w12_k3_trimmed,ok,12077,182724,0,band_w12_k3,0.096,
case_071,4,band_w12_k4_trimmed,ok,11839,224454,0,band_w12_k4,0.096,
case_072,2,band_w8_k2_trimmed,ok,11930682,91873186,74993824,band_w8_k2,13.559,
case_072,3,band_w12_k3_trimmed,ok,8091395,81101642,64858672,band_w12_k3,12.198,
case_072,4,band_w12_k4_trimmed,ok,6101115,108907478,76984752,band_w12_k4,12.157,
case_073,2,band_w4_k2_trimmed,ok,5205564,69954176,66232576,band_w4_k2,1.151,
case_073,3,band_w4_k3_trimmed,ok,4031366,71902976,64459776,band_w4_k3,1.03,
case_073,4,band_w4_k4_trimmed,ok,3296322,73851776,62686976,band_w4_k4,0.939,
case_074,2,band_w8_k2_trimmed,ok,875143,11997292,7024668,band_w8_k2,1.09,
case_074,3,band_w8_k3_trimmed,ok,599410,11124860,3383300,band_w8_k3,0.974,
case_074,4,band_w12_k4_trimmed,ok,466741,12406824,2453528,band_w12_k4,0.944,
case_075,2,band_w4_k2_trimmed,ok,864468,1923942,0,band_w4_k2,1.929,
case_075,3,band_w4_k3_trimmed,ok,760153,4515308,0,band_w4_k3,2.053,
case_075,4,band_w4_k4_trimmed,ok,594834,4784946,0,band_w4_k4,1.905,
