case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_063,5,ok,212149,212149,5555712,5555712,0.0034676354029062086,32256,9269760,1.0,3.8873681000000033,4ef8f6050571f98d14762f0f2c15bd89028515f0436f85973efb9636b537459c,,5.04549632569562,5.04549632569562,373335.0,1.7597773263131102
case_064,5,ok,12480,12478,150100,150100,0.3481722041801982,41812,78278,1.0001602820964899,0.3205771000002642,8529f11e048d620ac252002c1d39ff76aea518d2c0f69629f93b476907cd4396,,1.5319762782497195,1.5317307692307693,10292.0,0.8248116685366245
case_065,5,ok,12156,12156,55584,55584,0.156440681782361,55584,299720,1.0,0.19931700000006458,ab305bc1e9330442f90a7ad5d3259be92e9a3e7672bc7c5591673629b812629c,,4.365580783152352,4.365580783152352,12156.0,1.0
case_066,5,ok,94904,91753,2420166,2420166,0.34231322274020703,904638,1738082,1.034342201344915,2.6719176000001426,193f5f615d3336965a010c7ae89d66b98be7a2cb8635fbb6d65db45b5dd90eea,,3.913441522348043,3.7835075444659867,94904.0,1.034342201344915
case_067,5,ok,15456614,13333990,176094720,176094720,0.7981793098297304,142261248,35970944,1.1591889599437228,4.404093000000103,d39cb3d42bb41e3a253b0adabfdd0937d0376fd726c3adec5c3b3d36bb70aa3b,,4.787376771693994,4.129936478972691,15329318.0,1.1496422301201665
case_068,5,ok,123877,107948,3420288,3420288,0.3565161877012443,1921034,3467316,1.147561789009523,2.708150499999647,7d908de1a945c4cf20af3889faa51475a2607a918ab5c97d0caee92c47f15576,,3.354346537221625,2.923020415412062,123877.0,1.147561789009523
case_069,5,ok,11229,10312,310288,310288,0.3160104254523086,99664,215718,1.0889255236617532,0.3612289999996392,37d9f9d238d0cba325fa5592d2b4be01daf973273abee959e03af444f1f916f4,,2.4383242823894493,2.239202066078903,14614.0,1.4171838634600467
case_070,5,ok,28228,27536,462848,462848,0.15486923165810587,136704,746002,1.0251307379430563,0.3860998000000109,abc6cbd944f423ae1b0f3a00fc9de51ad246d0e81d128d3811cdfd2df946b6a6,,4.259877977919814,4.155448490860139,27664.0,1.0046484601975596
case_071,5,ok,7648,7455,266512,266512,0.2810666188568394,81520,208518,1.025888665325285,0.25756120000005467,51c7c4a5e986532787533012e628063fc6b2e54485f3713558f53275948955c8,,2.53775989268947,2.473718619246862,11906.0,1.5970489604292422
case_072,5,ok,4721276,4719933,79266480,79266480,0.10881894569431261,9832824,80526662,1.0002845379372969,19.06954399999995,10573c10f700be602a1abe1d75f08a41d3005015d64196744b00d78a1a285603,,5.063171023825974,5.061730769393698,4863110.0,1.030334540765727
