case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_073,5,ok,3243126,2316337,95853568,95853568,0.7088277541240201,70428672,28930688,1.400109742235262,2.0162930000001325,1d1772bae56b2d6452255cbac4b370728ccc05031f8e3f7cac7a1ccde87d5d9e,
case_074,5,ok,335626,333481,7770112,7770112,0.26676070838913596,3080192,8466456,1.006432150557303,1.5730800000001182,745d7f838fc73fb39ce0194c4677d67832860226729a92e20d22882cfb7e5966,
case_075,5,ok,369499,365050,6786072,6786072,0.5434347203397736,3367190,2828936,1.0121873715929324,3.932824999999866,b8dd6eb6a01ad22dea7c4c66bc1da679238f348f6fe938ebc8e340691c431ed7,
case_076,5,ok,1237109,1234163,17932288,17932288,0.45343849453438495,10066944,12134400,1.002387042878453,22.254065800000262,910f6cf28a40e5101c5f1f0654edfbf46773cc4c7ef6ee7f8480bc9afffa93ff,
case_077,5,ok,121081,121081,172032,172032,0.0,0,2313292,1.0,1.4291437000001679,4b5f3f8d483bc722783a6e95e26fdd9237bca50296070645508ea4428505a112,
case_078,5,ok,543260,543260,8593920,8593920,0.10508395026743651,1139184,9701520,1.0,0.32694569999966916,c2ad422660026bf7bbcfc5776fd83ce7680e94ff1ad88d04c7ab6ade546e3e4b,
case_079,5,ok,6263209,6260737,64759808,64759808,0.21749803948310545,13064192,47001600,1.0003948416935577,15.554226899999776,5f268a06e4bf8cc5dc5d36a8a6515388921e5ade457d6ce5ce966d3208005ebf,
case_080,5,ok,117286,73651,5013504,5013504,0.4262899262899263,2842624,3825664,1.5924563142387749,0.6528370999999424,a197906aeb3a5dd86b14f2382cc7a86acc76b4f4b4ee99e60cd18741148a2792,
case_081,5,ok,30943,30943,0,0,0.0,0,1044820,1.0,1.4518740999997135,ae26e110b0e9d64eef0fc2c50bf20ec8d20f3c1e5fb6ea87c3845f9f42fa4215,
case_082,5,ok,187739,187306,2829592,2829592,0.5301861455941522,1265812,1121674,1.0023117251983384,1.6927288000001681,2b79a56e8dcf36f94be82411fc38ebce69cf2dc28e2cec132788ae895df757e3,
case_083,5,ok,197034,196519,3721600,3721600,0.1894710751348566,929536,3976416,1.0026206117474645,1.1892071000002034,7bc8dee7e3372db6b1ac1ef6a582f78d0e8848584634df682eb17e36318e880a,
case_084,5,ok,375094,375094,8681472,8681472,0.0,0,14268522,1.0,6.0919896000000335,ab8bd5fc3d1b0963b4742defec2e0a1a5117169f5da6a5e2703547efc379ad69,
case_085,5,ok,746292,744845,10855448,10855448,0.5254370581022013,4350870,3929608,1.001942686062201,12.041506200000185,a8e93b023e6d97f3119b454dabb3f879196b59721c4a090de056f54691f17e96,
