case,cores,strategy,status,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_047,4,q1_selected,ok,101551,1104338,0,1568280,,,3.651,
case_048,2,q1_selected,ok,134500,600998,0,1015788,,,0.333,
case_048,3,q1_selected,ok,100024,727692,0,1142482,,,0.321,
case_048,4,q1_selected,ok,97230,705230,0,1120020,,,0.359,
case_049,2,q1_selected,ok,145892,122406,0,274946,,,0.784,
case_049,3,q1_selected,ok,115580,259146,0,411686,,,0.729,
case_049,4,q1_selected,ok,92151,370414,0,522954,,,0.664,
case_050,2,q1_selected,ok,78136,231070,0,550446,,,0.813,
case_050,3,q1_selected,ok,54550,389776,0,709152,,,0.823,
case_050,4,q1_selected,ok,42792,572750,0,892126,,,0.844,
case_051,2,q1_selected,ok,318596,393884,0,787102,,,0.211,
case_051,3,q1_selected,ok,227413,952,0,394170,,,0.27,
case_051,4,q1_selected,ok,178135,1140,0,394358,,,0.242,
case_052,2,q1_selected,ok,91254,102912,0,913116,,,0.191,
case_052,3,q1_selected,ok,63361,181248,0,991452,,,0.163,
case_052,4,q1_selected,ok,47721,259584,0,1069788,,,0.169,
case_053,2,q1_selected,ok,774929,5959552,4924800,8954840,,,3.491,
case_053,3,q1_selected,ok,546106,5882944,4768320,8878232,,,3.232,
case_053,4,q1_selected,ok,437275,7017212,0,10012500,,,3.651,
case_054,2,q1_selected,ok,425972,799686,0,2405962,,,4.993,
case_054,3,q1_selected,ok,291396,1583882,0,3190158,,,4.622,
case_054,4,q1_selected,ok,256479,1458514,0,3064790,,,4.036,
case_055,2,q1_selected,ok,65764,57856,0,683666,,,0.148,
case_055,3,q1_selected,ok,43687,115712,0,741522,,,0.159,
case_055,4,q1_selected,ok,31367,115712,0,741522,,,0.158,
case_056,2,q1_selected,ok,148424,318614,0,540214,,,1.702,
case_056,3,q1_selected,ok,96817,655984,0,877584,,,1.61,
case_056,4,q1_selected,ok,78516,822978,0,1044578,,,1.519,
case_057,2,q1_selected,ok,33730,288,0,342748,,,0.108,
case_057,3,q1_selected,ok,25250,288,0,342748,,,0.107,
case_057,4,q1_selected,ok,20957,288,0,342748,,,0.105,
case_058,2,q1_selected,ok,2271316,33431552,26808320,41099264,,,7.122,
case_058,3,q1_selected,ok,1554831,30400512,21209088,38068224,,,5.619,
case_058,4,q1_selected,ok,1154519,42622976,22753280,50290688,,,6.365,
case_059,2,q1_selected,ok,369318,360448,0,1703936,,,0.464,
case_059,3,q1_selected,ok,266217,2998272,835584,4341760,,,0.593,
case_059,4,q1_selected,ok,185216,1081344,0,2424832,,,0.478,
case_060,2,q1_selected,ok,469437,2768912,1570832,4867918,,,1.079,
case_060,3,q1_selected,ok,334622,3439756,1033228,5538762,,,1.046,
case_060,4,q1_selected,ok,229383,3699968,146432,5798974,,,1.083,
case_061,2,q1_selected,ok,39299,34560,0,578748,,,0.156,
case_061,3,q1_selected,ok,28409,43008,0,587196,,,0.153,
case_061,4,q1_selected,ok,27166,62208,0,606396,,,0.172,
case_062,2,q1_selected,ok,1505864,6441984,3090432,19843584,,,8.282,
case_062,3,q1_selected,ok,1031153,6445056,1978368,19846656,,,7.569,
case_062,4,q1_selected,ok,793258,6445056,1419264,19846656,,,7.016,
case_063,2,q1_selected,ok,564704,2251776,995328,7272960,,,2.196,
case_063,3,q1_selected,ok,386935,2254848,580608,7276032,,,2.069,
case_063,4,q1_selected,ok,298152,2254848,371712,7276032,,,1.894,
case_064,2,q1_selected,ok,11444,38438,0,75852,,,0.117,
case_064,3,q1_selected,ok,9338,74892,0,112306,,,0.133,
case_064,4,q1_selected,ok,7736,98802,0,136216,,,0.155,
case_065,2,q1_selected,ok,26928,13968,0,330170,,,0.101,
case_065,3,q1_selected,ok,18165,27792,0,343994,,,0.091,
case_065,4,q1_selected,ok,14502,41616,0,357818,,,0.098,
case_066,2,q1_selected,ok,192837,707578,0,1814612,,,1.132,
case_066,3,q1_selected,ok,138681,1711128,0,2818162,,,1.268,
case_066,4,q1_selected,ok,110060,1896230,0,3003264,,,1.146,
case_067,2,q1_selected,ok,31850916,259629440,251287552,265677568,,,2.663,
case_067,3,q1_selected,ok,22518138,259615488,245192704,265663616,,,2.387,
case_067,4,q1_selected,ok,17577539,263066752,246626304,269114880,,,2.186,
case_068,2,q1_selected,ok,198145,1288478,0,4059728,,,1.207,
case_068,3,q1_selected,ok,150264,2631348,0,5402598,,,1.211,
case_068,4,q1_selected,ok,112595,2803642,0,5574892,,,1.199,
case_069,2,q1_selected,ok,14728,123268,0,249322,,,0.129,
case_069,3,q1_selected,ok,11338,205064,0,331118,,,0.136,
case_069,4,q1_selected,ok,10947,284172,0,410226,,,0.134,
case_070,2,q1_selected,ok,58525,129536,0,549500,,,0.163,
case_070,3,q1_selected,ok,45661,259072,0,679036,,,0.16,
case_070,4,q1_selected,ok,36336,360960,0,780924,,,0.161,
case_071,2,q1_selected,ok,12223,84100,0,205546,,,0.099,
case_071,3,q1_selected,ok,9654,181832,0,303278,,,0.106,
case_071,4,q1_selected,ok,8966,198732,0,320178,,,0.091,
case_072,2,q1_selected,ok,11833111,113945376,102996424,125048560,,,15.268,
case_072,3,q1_selected,ok,7945629,114002720,94198216,125105904,,,12.881,
case_072,4,q1_selected,ok,5994354,122293024,93632968,133396208,,,11.842,
case_073,2,q1_selected,ok,5306837,137657728,133305344,141698816,,,1.392,
case_073,3,q1_selected,ok,4515227,140671616,133228416,144712704,,,1.13,
case_073,4,q1_selected,ok,3692635,141445248,129551360,145486336,,,1.146,
case_074,2,q1_selected,ok,822510,7077888,4792320,10854616,,,0.852,
case_074,3,q1_selected,ok,553814,7614464,3043328,11391192,,,0.879,
case_074,4,q1_selected,ok,423088,8429568,1785856,12206296,,,0.771,
case_075,2,q1_selected,ok,800955,1861510,0,3698700,,,2.0,
case_075,3,q1_selected,ok,639714,3325964,0,5163154,,,1.883,
case_075,4,q1_selected,ok,429207,4516242,0,6353432,,,1.953,
case_076,2,q1_selected,ok,3069464,30744576,26670080,35015250,,,15.9,
case_076,3,q1_selected,ok,2061609,35117056,26968064,39387730,,,14.37,
case_076,4,q1_selected,ok,1550155,35703808,23480320,39974482,,,13.292,
case_077,2,q1_selected,ok,250735,57344,0,2198704,,,0.648,
case_077,3,q1_selected,ok,178739,114688,0,2256048,,,0.679,
case_077,4,q1_selected,ok,144734,172032,0,2313392,,,0.652,
case_078,2,q1_selected,ok,1182594,9891456,7742976,12236544,,,0.17,
case_078,3,q1_selected,ok,823972,12293376,7799808,14638464,,,0.172,
case_078,4,q1_selected,ok,665620,11079552,4634112,13424640,,,0.148,
case_079,2,q1_selected,ok,15446486,31780864,28131328,41132032,,,8.745,
case_079,3,q1_selected,ok,10181692,39960576,28336128,49311744,,,8.33,
case_079,4,q1_selected,ok,7635624,30445568,19496960,39796736,,,8.786,
case_080,2,q1_selected,ok,145926,2191360,286720,4169728,,,0.296,
case_080,3,q1_selected,ok,100325,3047424,0,5025792,,,0.289,
case_080,4,q1_selected,ok,100325,3047424,0,5025792,,,0.255,
case_081,2,q1_selected,ok,76860,0,0,1741140,,,0.998,
case_081,3,q1_selected,ok,51943,0,0,1741140,,,0.886,
case_081,4,q1_selected,ok,39588,0,0,1741140,,,0.779,
case_082,2,q1_selected,ok,364558,593798,0,1185804,,,0.702,
case_082,3,q1_selected,ok,250314,1430284,0,2022290,,,0.727,
case_082,4,q1_selected,ok,199865,1224850,0,1816856,,,0.633,
case_083,2,q1_selected,ok,451436,1323616,393216,2761920,,,0.654,
case_083,3,q1_selected,ok,311028,1942720,81920,3381024,,,0.595,
case_083,4,q1_selected,ok,242608,2791200,0,4229504,,,0.636,
case_084,2,q1_selected,ok,1255052,0,0,13236330,,,2.901,
case_084,3,q1_selected,ok,836220,0,0,13236330,,,2.786,
case_084,4,q1_selected,ok,629028,0,0,13236330,,,2.56,
case_085,2,q1_selected,ok,1660638,2179718,0,3869452,,,6.791,
case_085,3,q1_selected,ok,1121541,5678092,0,7367826,,,6.069,
case_085,4,q1_selected,ok,849039,4356242,0,6045976,,,5.433,
case_086,2,q1_selected,ok,61451,466662,0,804684,,,1.023,
case_086,3,q1_selected,ok,47796,846924,0,1184946,,,0.884,
case_086,4,q1_selected,ok,38218,1160946,0,1498968,,,0.861,
case_087,2,q1_selected,ok,1985234,9999360,7994880,15918458,,,11.273,
case_087,3,q1_selected,ok,1385253,10722816,7059456,16641914,,,9.996,
case_087,4,q1_selected,ok,1069661,11796480,6612480,17715578,,,10.164,
case_088,2,q1_selected,ok,142850,832714,0,2662512,,,0.537,
case_088,3,q1_selected,ok,104238,1725712,0,3555510,,,0.561,
case_088,4,q1_selected,ok,80851,1908310,0,3738108,,,0.591,
case_089,2,q1_selected,ok,346832,238720,0,805120,,,0.775,
case_089,3,q1_selected,ok,243614,477440,0,1043840,,,0.696,
case_089,4,q1_selected,ok,178160,716160,0,1282560,,,0.683,
case_090,2,q1_selected,ok,473953,2424960,0,4653312,,,0.293,
case_090,3,q1_selected,ok,356824,4389120,0,6617472,,,0.273,
case_090,4,q1_selected,ok,304033,6744960,0,8973312,,,0.25,
case_091,2,q1_selected,ok,4590046,57827296,51348960,64404952,,,13.446,
case_091,3,q1_selected,ok,3070809,63099200,50142528,69676856,,,12.147,
case_091,4,q1_selected,ok,2315529,67391136,47956128,73968792,,,14.365,
case_092,2,q1_selected,ok,2022314,7950944,7020544,11207872,,,9.136,
case_092,3,q1_selected,ok,1354532,7050432,5189632,10307360,,,7.221,
case_092,4,q1_selected,ok,1024174,6657824,3866624,9914752,,,6.284,
case_093,2,q1_selected,ok,37827,8192,0,722944,,,0.119,
case_093,3,q1_selected,ok,25103,16384,0,731136,,,0.135,
case_093,4,q1_selected,ok,19779,24576,0,739328,,,0.14,
case_094,2,q1_selected,ok,53614,106272,0,632964,,,0.116,
case_094,3,q1_selected,ok,39889,212544,0,739236,,,0.127,
