case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_066,2,2,component_scalar,component_scalar,248146,359070,1.44701103382686,,0.3554753999924287,f0148b6bedee82a0c8c953e55c8107496c52dcc475b7ee8743d1c0b7a2017c60
case_066,2,2,trained,component_scalar,248146,359070,1.44701103382686,,0.3327664999960689,f0148b6bedee82a0c8c953e55c8107496c52dcc475b7ee8743d1c0b7a2017c60
case_071,2,2,component_scalar,component_scalar,18919,18919,1.0,,0.034740000002784654,7564d425a1529e6da7075ed8c8550b98157731f1e6d0279d0e87578b9bbe00a0
case_071,2,2,trained,shared_prefix,13182,18919,1.4352146866939766,,0.03648260000045411,4189b5797b01b1e1d4ca7419000b0b84d67c25280645f7a6ea0f6c94c391318c
case_094,2,2,component_scalar,component_scalar,48939,94892,1.9389852673736692,,0.05124469999282155,57927f9d0d2168c1af7e204df206e49fd387e2764d6b139168665a2b13431435
case_094,2,2,trained,component_scalar,48939,94892,1.9389852673736692,,0.05275950000213925,57927f9d0d2168c1af7e204df206e49fd387e2764d6b139168665a2b13431435
case_009,2,3,component_scalar,component_scalar,92207,153261,1.6621406183912284,,0.47290979999525007,d190f0ed1b29715ec04d71606b1d39637f671e64e681f5092afa8dd7dea41648
case_009,2,3,trained,component_affinity,92207,153261,1.6621406183912284,,0.4707586000004085,8830f875e98d9eabd4cac074c795a1557a334495b9e9eb9dc1daae5930783584
case_019,2,3,component_scalar,component_scalar,27997,81144,2.898310533271422,,0.03438260000257287,cdeecd0287c6ccb632011d8d9e43584ae0571440dcfb268aca5d48f765aeedd1
case_019,2,3,trained,component_scalar,27997,81144,2.898310533271422,,0.03400830000464339,cdeecd0287c6ccb632011d8d9e43584ae0571440dcfb268aca5d48f765aeedd1
case_026,2,3,component_scalar,component_scalar,41982,99203,2.362988900004764,,0.03938149999885354,64d84a6ca930e17292c61c7b1532bfcec4f50e55174067adef85552e999d2eb7
case_026,2,3,trained,component_affinity,41982,99203,2.362988900004764,,0.04583230000571348,2c6a196fe14fe2059c28d3f4188215b4fd24bf48610783a291d3eb5814a66189
case_066,2,3,component_scalar,component_scalar,248979,359070,1.442169821551215,,0.31032689999847207,ae5a1b58d7a2972440ed1b5e6aed99e8792232aba1203fcc738edb55d3a452e9
case_066,2,3,trained,component_scalar,248979,359070,1.442169821551215,,0.314337699994212,ae5a1b58d7a2972440ed1b5e6aed99e8792232aba1203fcc738edb55d3a452e9
case_071,2,3,component_scalar,component_scalar,18919,18919,1.0,,0.036187499994412065,15649b1818bb8ee690307daa2ab90f2392be0f4709c19a7700c6c1057476f4a8
case_071,2,3,trained,shared_prefix,9835,18919,1.9236400610066091,,0.036320899991551414,e970cc4f2a65872a790a16e83bf1c3307363968492f86d8c05d7eb2bc42c4586
case_094,2,3,component_scalar,component_scalar,34019,94892,2.7893824039507336,,0.05258599999069702,c87dc441a9bf1d90b58f40c9a378c0b65332fa5a8c60663a26353f6f755151c8
case_094,2,3,trained,component_vector_reuse_order,37990,94892,2.4978152145301395,,0.05871579999802634,8351af673c35d6f3add78f65ff896c1eac614708c0686f4690bd4b771322c933
case_009,2,4,component_scalar,component_scalar,92216,153261,1.6619783985425522,,0.4656535999965854,efcdb522dd5c9d3f92910c9160988201e6c68f3a5abe7bfe07cf070bc84ff3d4
case_009,2,4,trained,component_affinity,92216,153261,1.6619783985425522,,0.49092270000255667,fdd61fafe3050a65f1e712234e600fe7f728fdde81f366963d3346f7f91c8876
case_019,2,4,component_scalar,component_scalar,24099,81144,3.3671106684924688,,0.040403600010904483,4ef80c256e81ad88a738492a366e24d496a528c74b87c4a744259a93a88abf37
case_019,2,4,trained,component_affinity,24099,81144,3.3671106684924688,,0.0500507000106154,8216beebec0b04c4a1d38beefb57e21d9a0cbc3fb3e25bd3dba79c0277666c12
case_026,2,4,component_scalar,component_scalar,44281,99203,2.240306226146654,,0.039664799987804145,cfe53074b4f5282f3ddf56e31abe6445c0b444799ffc55b56a0de16bf17b59b8
case_026,2,4,trained,component_vector,43828,99203,2.2634617139728026,,0.047853600000962615,0c6fa7a111767b3834c8f66e371de030e7a2c53f4f970e0a7708ad103c8ce8c3
case_066,2,4,component_scalar,component_scalar,249810,359070,1.4373724030263,,0.378123600006802,854528f85bb7694cca1dc323b40f250833db9d138d0e81507eafc5be68fc9934
