case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain,selected,inference_seconds,candidate_count
case_016,2,ok,4154388.0,4154388.0,8536.0,8536.0,0.0,0.0,397484.0,1.0,16.488389200000256,5620ff2e7f10dcb2825245c1644b0d81e88c238e27497075cb2a058426052374,,1.857198461000754,1.857198461000754,4772689.0,1.1488308265862506,fork_join,2.902155099999618,5
case_016,3,ok,2884306.0,2884306.0,4872.0,4872.0,0.0015367039721775702,608.0,395044.0,1.0,11.347450599999775,c982608b71fb254199bb203da2d26c471492fa6ba692e5dec44a1a8f9f2c7677,,2.6750015428321405,2.6750015428321405,2884306.0,1.0,data_wide,2.841614700000264,5
case_016,4,ok,2241799.0,2241799.0,14628.0,14628.0,0.0030359773300377,1216.0,399314.0,1.0,15.072776900000008,f560d2415268e2bfa81cd063931dcc01c130c1b86ae17ea89adc95c720b73aef,,3.441665822850309,3.441665822850309,2397915.0,1.069638714264749,fork_join,2.6894654000002447,5
case_016,5,ok,2242797.0,2242797.0,15844.0,15844.0,0.004547063604046488,1824.0,399314.0,1.0,15.636644799999885,cf4dca010efd6899e84767478f9fde32235107f793f6833325eef8c5bcc6e33e,,3.4401343500994517,3.4401343500994517,2393034.0,1.0669864459422767,fork_join,2.9184322000000975,5
case_017,1,ok,162810.0,162810.0,22528.0,22528.0,0.040398388942088706,22528.0,535118.0,1.0,0.4040967000000819,c36e6d525cd519d79928fe8ff1345d0cd934f98fb949acc3c490fb713f986938,,1.0,1.0,162810.0,1.0,single_core_fixed,0.022994099999777973,1
case_017,2,ok,83591.0,83533.0,87552.0,87552.0,0.022201165946649108,13824.0,608846.0,1.0006943363700573,0.4462834999999359,7902bfcb309a738a2ecf957790bdb0756c46ae0cfcaf4d0e4525c2aeb2da44a7,,1.9490500760178613,1.9476977186539222,87680.0,1.0496450504591,component_vector,0.2210282000000916,7
case_017,3,ok,58093.0,56962.0,872728.0,872728.0,0.361542669495446,445456.0,786642.0,1.01985534215793,0.5851725000002261,af186a56c4c9557615109573499d938a94715780009e89e3b70c5f3b6449265d,,2.8582212703205645,2.8025751811750124,58579.0,1.0283873459499315,data_wide,0.2171211999998377,7
case_017,4,ok,41344.0,41259.0,259200.0,259200.0,0.047859925118151674,38016.0,756302.0,1.0020601565718994,0.41666540000005625,80744ae4744f8ba2679304e52b494969667a53951fa83c70a34b311926055fff,,3.946048134952374,3.9379353715170278,42384.0,1.027266778157493,component_reuse_order,0.21656400000028952,7
case_017,5,ok,36650.0,36650.0,339840.0,339840.0,0.04081567343803931,35712.0,839246.0,1.0,0.43206610000015644,92d884de784f7fb0fa1e40b9421b2f491075b33161082201f2bcd773cd60f52b,,4.442291950886767,4.442291950886767,35496.0,0.9685129604365621,component_affinity,0.2984974000000875,8
case_018,1,ok,1004367.0,1003110.0,1970176.0,1970176.0,0.34375031576536474,1224704.0,2338068.0,1.0012531028501361,1.0916442000002462,174b48c09866484714824a3cedcbb2825bc5786c2b2d741867aaece4df7839b5,,1.0012531028501361,1.0,1004367.0,1.0012531028501361,single_core_fixed,0.04392450000023018,1
case_018,2,ok,505216.0,505216.0,1266688.0,1266688.0,0.4272510180870456,1221632.0,1637652.0,1.0,1.036114699999871,72d4bb32ea6731739f6e1f9053dacd0a2bf81c88e2aab7ff0e4c35e836435783,,1.987995233721814,1.987995233721814,505349.0,1.0002632537370155,component_affinity,0.5563819999997577,8
case_018,3,ok,350932.0,350547.0,2474368.0,2474368.0,0.49274298961092355,2003968.0,2062996.0,1.001098283539725,0.9886649000000034,f412935bb454f5f425463beb60402e4c8e7e2513610e9ad6d69fd1a927644e7f,,2.865142192059838,2.8619989057709185,338272.0,0.9649832975321426,component_reuse_order,0.5797190000002956,8
case_018,4,ok,260262.0,258970.0,4800256.0,4800256.0,0.6210631006134915,3899136.0,2379028.0,1.00498899486427,1.1041665000002467,9a6572e9ec436f64da210381dcd3b123b84c5bdddd4d79ee34594e861a3a61bd,,3.8783140904351856,3.8590612536597737,258133.0,0.9967679654013979,valley,0.5178257000002304,8
case_018,5,ok,212066.0,211720.0,4628480.0,4628480.0,0.673550363313356,4190208.0,2030868.0,1.001634233893822,1.1215620000002673,6e0c9709c3c206b06a1947b281146f4a779d988f36bcfd22020c2b77f50fb259,,4.7438456451917626,4.736105740665642,203865.0,0.9628991120347629,component_vector,0.5404444000000694,8
