case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_015,2,177362,92411,92209,1.9234781854265852,576808,158984,417824,317696,122906,band_w12_k2_trimmed,q2_optimization/transfer/case_015/n2/band_w12_k2_trimmed/case_015_multicore_res.json,q2_optimization/transfer/case_015/n2/band_w12_k2_trimmed/result.json.gz
case_015,3,177362,60807,60807,2.916802341835644,306448,208128,98320,196608,122898,baseline,baseline_results/case_015/q2_n3/case_015_multicore_res.json,baseline_results/case_015/q2_n3/result.json.gz
case_015,4,177362,53421,53421,3.320080118305535,263936,231168,32768,196608,122898,baseline,baseline_results/case_015/q2_n4/case_015_multicore_res.json,baseline_results/case_015/q2_n4/result.json.gz
case_015,5,177362,43437,43029,4.121917776383369,411652,411652,0,196608,114700,component1_cut10_to0,q2_optimization/component_split/case_015/n5/component1_cut10_to0/case_015_multicore_res.json,q2_optimization/component_split/case_015/n5/component1_cut10_to0/result.json.gz
case_016,2,7715523,7715523,4033697,1.9127671215760629,401752,401752,0,393216,65546,q1_selected,q2_optimization/case_016/n2/q1_selected/case_016_multicore_res.json,q2_optimization/case_016/n2/q1_selected/result.json.gz
case_016,3,7715523,7715523,2876681,2.682091966401558,12192,12192,0,131072,65542,band_w4_k3_trimmed,q2_optimization/transfer/case_016/n3/band_w4_k3_trimmed/case_016_multicore_res.json,q2_optimization/transfer/case_016/n3/band_w4_k3_trimmed/result.json.gz
case_016,4,7715523,7715523,2241799,3.441665822850309,14628,14628,0,98304,65540,band_w4_k4_trimmed,q2_optimization/transfer/case_016/n4/band_w4_k4_trimmed/case_016_multicore_res.json,q2_optimization/transfer/case_016/n4/band_w4_k4_trimmed/result.json.gz
case_016,5,7715523,7715523,2118172,3.642538471852144,212452,212452,0,196608,65540,q1_selected,q2_optimization/case_016/n5/q1_selected/case_016_multicore_res.json,q2_optimization/case_016/n5/q1_selected/result.json.gz
case_017,2,162810,87680,82940,1.9629852905714975,265932,265932,0,104448,118806,band_w8_k2_trimmed,q2_optimization/transfer/case_017/n2/band_w8_k2_trimmed/case_017_multicore_res.json,q2_optimization/transfer/case_017/n2/band_w8_k2_trimmed/result.json.gz
case_017,3,162810,58579,57855,2.8141042260824474,455788,455788,0,98304,119824,band_w8_k3_trimmed,q2_optimization/transfer/case_017/n3/band_w8_k3_trimmed/case_017_multicore_res.json,q2_optimization/transfer/case_017/n3/band_w8_k3_trimmed/result.json.gz
case_017,4,162810,42384,42384,3.841308040770102,259200,259200,0,86016,49164,baseline,baseline_results/case_017/q2_n4/case_017_multicore_res.json,baseline_results/case_017/q2_n4/result.json.gz
case_017,5,162810,35496,35496,4.586713995943205,340992,340992,0,86016,49164,baseline,baseline_results/case_017/q2_n5/case_017_multicore_res.json,baseline_results/case_017/q2_n5/result.json.gz
case_018,2,1004367,502105,502105,2.0003126836020355,3191808,1299456,1892352,524288,65536,baseline,baseline_results/case_018/q2_n2/case_018_multicore_res.json,baseline_results/case_018/q2_n2/result.json.gz
case_018,3,1004367,338272,338272,2.969110656513102,3867008,2474368,1392640,524288,65536,baseline,baseline_results/case_018/q2_n3/case_018_multicore_res.json,baseline_results/case_018/q2_n3/result.json.gz
case_018,4,1004367,258133,258133,3.89088958017766,4853504,3649280,1204224,524288,65536,baseline,baseline_results/case_018/q2_n4/case_018_multicore_res.json,baseline_results/case_018/q2_n4/result.json.gz
case_018,5,1004367,203865,203865,4.926627915532338,5693440,4628480,1064960,524288,65536,baseline,baseline_results/case_018/q2_n5/case_018_multicore_res.json,baseline_results/case_018/q2_n5/result.json.gz
case_019,2,81144,43224,38791,2.091825423422959,219960,219960,0,50944,112640,band_w4_k2_trimmed,q2_optimization/transfer/case_019/n2/band_w4_k2_trimmed/case_019_multicore_res.json,q2_optimization/transfer/case_019/n2/band_w4_k2_trimmed/result.json.gz
