case,cores,singlecore_reference_cycles,first_stage_cycles,q3_l2_cycles,same_plan_no_l2_cycles,first_stage_speedup,speedup_vs_reference,same_plan_l2_gain,added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,cache_hit_rate,cache_hit_bytes,cache_miss_bytes,official_search_calls,invalid_candidates,selected,branch_called,plan_sha256
case_066,5,359070.0,91753,91753,94904,3.913441522348043,3.913441522348043,1.034342201344915,2420166,0,89088,42022,0.34231322274020703,904638,1738082,24,0,greedy,False,ccd3a9f1e3694e0eee4666e2fe77a8a520e5686e5c07d9a34d21bfc250fb5a54
case_067,5,63834834.0,12300408,12300408,12334877,5.189651757892909,5.189651757892909,1.0028022647704045,18799872,2441216,518144,0,0.517582670067927,11245440,10481408,24,0,greedy,False,9ebd9c4d3607a9c5a2762718595c25373488fe1fcb8481db8c994c0334957aad
case_068,5,362095.0,107948,107948,123877,3.354346537221625,3.354346537221625,1.147561789009523,3420288,0,59136,98692,0.3565161877012443,1921034,3467316,55,0,greedy,True,442a9610aab4c046b4b019918b54b996674960f0ed6a4e595aaee56857008495
case_069,5,25144.0,9200,9200,9592,2.7330434782608695,2.7330434782608695,1.0426086956521738,262578,0,26880,11618,0.2805420227351383,84304,216200,56,0,greedy,True,7791c80a260dc3932b247c9341f1a9ebbfa5f14a2f9c4d3268ea90ba85628fc2
case_070,5,117300.0,26572,26572,26584,4.414421195243113,4.414421195243113,1.0004516031913293,462852,0,104192,16392,0.2737756993252582,241664,641044,24,0,greedy,False,7056931584978a661f72f70e135b2f2b91378d2a819ea517e3059dbf59b5c207
case_071,5,18919.0,7944,7944,8316,2.3815458207452167,2.3815458207452167,1.0468277945619335,207474,0,23040,11714,0.30931367715215463,75282,168102,54,0,greedy,True,f13cad5b38a2c9e3966bf5a506212002edebf7586f4c8acf49287c6cb703a9a1
case_072,5,23897828.0,4809646,4809646,4820122,4.968729091496547,4.968729091496547,1.0021781228805613,129444980,88998416,524288,59158,0.19647711186272657,27525516,112569764,10,0,greedy,False,d07d64c28bdaaa75e27930c051b7479f864bf0a4972040524bbea952d083e6e1
case_073,5,10081626.0,1716184,1716184,1852235,5.874443532861278,5.874443532861278,1.0792752991520722,14902784,0,360960,0,0.7653575299787984,14370304,4405632,24,0,greedy,False,7de0b293d1da7cca2b9ee2574d930230d9011248911388380114da83d93d9f99
case_074,5,1682239.0,339417,339417,346659,4.956260293385423,4.956260293385423,1.0213365859694712,8921088,1089536,524288,122896,0.3581358465052651,4534272,8126488,24,0,greedy,False,be8c44f5561877e4d12f86cb68fc86f0b7fec66c608e04cbc75eb39323441747
case_075,5,1441809.0,354593,354593,358525,4.06609549539895,4.06609549539895,1.01108876937785,5704214,0,35456,28866,0.28481564847714563,1600918,4019974,25,0,greedy,False,9f860e700d4cea87ab0413c76a69f9dfe7a6fe7e1d53b21088debf8a9121a9f4
case_076,5,6185113.0,1232145,1232145,1238120,5.019793124997464,5.019793124997464,1.0048492669288112,37194752,20896768,524288,8192,0.3573792354045244,14818304,26645504,6,0,greedy,False,6d29f32bc5073e990dd9998278350b0e129a6ebcd76934b9568c38275d00dccd
case_077,5,495320.0,121081,121081,121081,4.090815239385205,4.090815239385205,1.0,172032,0,106496,36864,0.0,0,2313292,24,0,greedy,False,c5e2eb7f980d9bb5a363789ec3f19aa5affac7471dba14caef473ed9807ca8b8
case_078,5,2296143.0,505551,505551,531355,4.541862245352101,4.541862245352101,1.0510413390538245,9146880,0,381696,0,0.7500064764602259,8337960,2779224,25,0,greedy,False,b823a4c0054f4d132f68fb8512f857cf0ec4d1ec5bc51c6413d894772fe4d106
case_079,5,31052251.0,6075472,6075472,6075976,5.111084537958532,5.111084537958532,1.000082956517617,47677440,24428544,524288,0,0.2441611149398882,13060096,40429568,11,0,greedy,False,996703d5d1b6b10988a3d350dcf13a54e8852e086319ee4a6a675128387fa2b3
case_080,5,292138.0,69084,69084,116720,4.228736031497887,4.228736031497887,1.6895373747901106,4980736,0,151552,0,0.5406403940886699,3596288,3055616,24,0,greedy,False,6c203136d0bbd0895223dce51e615a7bdeaa042f24f03e732c98b9eda0fb2c43
case_081,5,151795.0,30943,30943,30943,4.905632937982743,4.905632937982743,1.0,0,0,0,14340,0.0,0,1044820,18,0,greedy,False,f9e651df6a8229a7879066c19329096daf7d234ff4a05bd6b9f88f0a1a712f81
case_082,5,721041.0,185171,185171,185479,3.8939196742470474,3.8939196742470474,1.0016633274108797,2773528,0,52352,31556,0.5339353935274856,1259796,1099658,28,0,greedy,False,a19e38abec72e0d870c5fa4e9368d2e7044e9644bd6e38be52ff7bb58be95bff
case_083,5,1057993.0,181628,181628,181470,5.825054507014337,5.825054507014337,0.9991300900742176,4179488,0,262656,0,0.7354909879590158,3776352,1358112,24,0,greedy,False,3af5354bee7d8b6891342a00c47b0d4b11dd80374b3a9eaf325d2e99b0283627
case_084,5,2507412.0,375094,375094,375094,6.6847563544071615,6.6847563544071615,1.0,8681472,8681472,10752,129120,0.0,0,14268522,24,0,greedy,False,28fd9fd646b37033881611daa83eab3a31e81c3ff12e23df4c5e4105974671db
case_085,5,3187899.0,744845,744845,746292,4.27994951969873,4.27994951969873,1.001942686062201,10855448,0,90752,37252,0.5254370581022013,4350870,3929608,17,0,greedy,False,69cd0c5e57ab9b97a22b161c1c689cd409b4303b6a8b0101e7f0ef948de06bdc
case_086,5,118403.0,34630,34630,35404,3.419087496390413,3.419087496390413,1.0223505630955818,987956,0,28800,20596,0.32189564609324633,318546,671048,55,0,greedy,True,54c3bc47db6cd9fc405b26b785ba3a46471b2d32e82b26d2893618f7f64ea5bb
case_087,5,3974071.0,852871,852871,885740,4.659639030990618,4.659639030990618,1.0385392398146964,25908378,5434800,520704,41432,0.5069576856598562,14296226,13903812,7,0,greedy,False,074ba9d3bcab23fbd9754c425e364db4d4fe87b86e7563e4adea43e505d647d4
case_088,5,243623.0,75845,75845,86863,3.2121168171929595,3.2121168171929595,1.145269958467928,2220472,0,78400,36868,0.35416680662765676,1265234,2307190,55,0,greedy,True,9806104e25da13f34add44affa1c2fd93bfbd4bc90e09b292e91d877fc15aba4
case_089,5,693092.0,120170,120170,120170,5.767595905800117,5.767595905800117,1.0,954880,0,102656,0,0.0,0,1357440,24,0,greedy,False,7a82131830d689a6bef1e0545f4a92dbb1dd93b2cf8f54df0b0df670f1f8ad67
case_090,5,1178363.0,196947,196947,257160,5.983147750410009,5.983147750410009,1.3057319989641882,8593920,0,350400,0,0.49158401296342463,5300424,5481912,24,0,greedy,False,c695389638b3f7ac28583e8f1f921cfadd3d899ddb03e9b3d4346c9ad371e14f
case_091,5,9186769.0,1846939,1846939,1876296,4.974051119176107,4.974051119176107,1.0158949483442605,69999104,43844096,523776,4100,0.3388379033231008,25883616,50505760,5,0,greedy,False,060777317d1da694fccb32f2a8e0e29cb1ffb302478ec07d8a187b434c89f160
case_092,5,4815554.0,798824,798824,798425,6.028304107037345,6.028304107037345,0.9995005157581645,3983744,229376,517120,0,0.21851977419372198,1299392,4646944,9,0,greedy,False,97735d53163ba6d17798c19f819389739df9ea09f0af9898c978be77d2eca94b
case_093,5,74205.0,15876,15876,15876,4.674036281179139,4.674036281179139,1.0,32768,0,20480,0,0.0,0,606208,24,0,greedy,False,bb04b671cbb27a4803367444f50eed9586fa80cae2848109ccd3c4a1ea4efe70
case_094,5,94892.0,25370,20019,21093,3.7403232163973197,4.74009690793746,1.0536490334182527,268416,0,80640,40960,0.25549922856513113,185472,540448,54,0,branch,True,f50d64450e448b06f428e035fb7b1bfab8df33973e6385024d8168e96c84d7c6
case_095,5,2084853.0,420852,420852,420852,4.953886401870491,4.953886401870491,1.0,0,0,36864,37056,0.0,0,8516508,24,0,greedy,False,25179a6175ef09d05c628dfcdfc270528766fdad99158b21ddc5573bb6e677fa
case_096,5,84194.0,26984,26984,26984,3.120145271271865,3.120145271271865,1.0,78336,0,72576,20480,0.2714382735727453,78336,210260,54,0,greedy,True,bd1682bb5184ab77465c622fe2a82fd91dff7f7bc24a5ea9752153ec5eff505a
case_097,5,11491509.0,2102004,2102004,2102204,5.466930129533531,5.466930129533531,1.0000951472975312,21950464,4591616,524288,0,0.20251572327044026,5275648,20774912,24,0,greedy,False,873ab0e4b43faef606fdc071b8e189163738fdf779c17ebf45497e8a8d105765
case_098,5,177430.0,68795,68795,69570,2.5791118540591613,2.5791118540591613,1.0112653535867433,1396952,0,98304,65542,0.3107102929815594,532504,1181324,54,0,greedy,True,9f92b0ff69f558a41b13cf7c29e4668b3c66854b4cc3c66c44f27122be868b3c
case_099,5,1622999.0,326037,326037,337144,4.977959556737425,4.977959556737425,1.0340666856829133,10706304,3080192,524288,6144,0.5316210884616872,7036928,6199808,24,0,greedy,False,f053962d957da2d029215a44454ae0755bea806ea3e830068a7abe04e0c9cc1b
case_100,5,151223.0,40014,40014,45895,3.779252261708402,3.779252261708402,1.146973559254261,1747800,0,109056,74754,0.4383162795462966,735848,942958,24,0,greedy,False,138bde9d99a716319b445c14ac074617a2f45a7eb7434598cde841d60422790b
