case,cores,A_speedup,A_makespan_cycles,A_added_copy_bytes,A_spill_added_copy_bytes,B_speedup,B_makespan_cycles,B_added_copy_bytes,B_spill_added_copy_bytes
case_044,2,1.1777354029213225,131105.0,4672992.0,3742592.0,3.2492371793522863,47521.0,930400.0,0.0
case_044,3,1.1777354029213225,131105.0,4672992.0,3742592.0,2.7737120068980383,55668.0,1860800.0,0.0
case_044,4,1.1777354029213225,131105.0,4672992.0,3742592.0,2.265194748037849,68165.0,2791200.0,0.0
case_044,5,1.1777354029213225,131105.0,4672992.0,3742592.0,1.855028412845249,83237.0,3721600.0,0.0
case_045,2,1.99200748505368,63059.0,0.0,0.0,1.99200748505368,63059.0,0.0,0.0
case_045,3,2.94861622966597,42601.0,0.0,0.0,2.94861622966597,42601.0,0.0,0.0
case_045,4,3.940460505677897,31878.0,0.0,0.0,3.940460505677897,31878.0,0.0,0.0
case_045,5,4.801024308209754,26164.0,0.0,0.0,4.801024308209754,26164.0,0.0,0.0
case_046,2,1.6596129140702853,166578.0,3521632.0,2591232.0,2.460527252661184,112356.0,930400.0,0.0
case_046,3,1.9444561670042764,142176.0,4021280.0,2160480.0,3.2701088242252188,84540.0,1860800.0,0.0
case_046,4,2.218526305652746,124612.0,4513952.0,1722752.0,3.4484457638958186,80168.0,2791200.0,0.0
case_046,5,2.218526305652746,124612.0,4513952.0,1722752.0,2.8998269261026905,95335.0,3721600.0,0.0
case_047,2,1.615832294079221,202068.0,1097622.0,0.0,1.854147737597674,176096.0,494022.0,0.0
case_047,3,2.10922480620155,154800.0,1594560.0,0.0,2.550365556458164,128024.0,1353740.0,0.0
case_047,4,2.694805301992374,121162.0,1482538.0,0.0,3.134226061915047,104175.0,1170770.0,0.0
case_047,5,2.7190646313738225,120081.0,2257428.0,0.0,3.4457765207480264,94756.0,2385816.0,0.0
case_048,2,1.620707008088219,137113.0,805802.0,0.0,1.4946092641292432,148681.0,424582.0,0.0
case_048,3,1.8215948586792576,121992.0,723464.0,0.0,1.707703184556744,130128.0,638220.0,0.0
case_048,4,1.9860399853428783,111891.0,925012.0,0.0,1.7521781983047506,126825.0,415310.0,0.0
