case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_023,3,122614,41662,41662,2.943065623349815,196896,baseline,baseline_results/case_023/q1_n3/case_023_multicore_res.json
case_023,4,122614,31519,31519,3.890161489894984,281280,baseline,baseline_results/case_023/q1_n4/case_023_multicore_res.json
case_023,5,122614,25191,25191,4.867373268230717,280992,baseline,baseline_results/case_023/q1_n5/case_023_multicore_res.json
case_024,2,2555343,2555343,1506718,1.6959663321205427,39327048,fork_join_heft,q1_optimization/case_024/n2/fork_join_heft/case_024_multicore_res.json
case_024,3,2555343,2555343,1228774,2.0795874587190157,39327248,fork_join_heft,q1_optimization/case_024/n3/fork_join_heft/case_024_multicore_res.json
case_024,4,2555343,2555343,1072818,2.3818979547323034,39327448,fork_join_heft,q1_optimization/case_024/n4/fork_join_heft/case_024_multicore_res.json
case_024,5,2555343,2555343,1067515,2.3937302988716787,39327648,fork_join_heft,q1_optimization/case_024/n5/fork_join_heft/case_024_multicore_res.json
case_025,2,4863026,2431840,2431840,1.9997310678334101,27648,baseline,baseline_results/case_025/q1_n2/case_025_multicore_res.json
case_025,3,4863026,1622164,1622164,2.9978633479722148,55296,baseline,baseline_results/case_025/q1_n3/case_025_multicore_res.json
case_025,4,4863026,1217444,1217444,3.9944555971362954,82944,baseline,baseline_results/case_025/q1_n4/case_025_multicore_res.json
case_025,5,4863026,975282,975282,4.986276789687495,110592,baseline,baseline_results/case_025/q1_n5/case_025_multicore_res.json
case_026,2,99203,58112,58112,1.707100082599119,288,baseline,baseline_results_15_55/case_026/q1_n2/case_026_multicore_res.json
case_026,3,99203,41655,41655,2.3815388308726444,95664,baseline,baseline_results_15_55/case_026/q1_n3/case_026_multicore_res.json
case_026,4,99203,42226,41655,2.3815388308726444,95664,baseline_k3,q1_optimization/case_026/n4/baseline_k3/case_026_multicore_res.json
case_026,5,99203,44114,41655,2.3815388308726444,95664,baseline_k3,q1_optimization/case_026/n5/baseline_k3/case_026_multicore_res.json
case_027,2,2363952,1120962,1120962,2.10886006840553,1744896,baseline,baseline_results_15_55/case_027/q1_n2/case_027_multicore_res.json
