case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_050,4,149690,108147,47911,3.124334703930204,592722,valley_merge_40_heft,q1_optimization/case_050/n4/valley_merge_40_heft/case_050_multicore_res.json
case_050,5,149690,108160,43279,3.4587213198086832,656902,valley_merge_32_heft,q1_optimization/case_050/n5/valley_merge_32_heft/case_050_multicore_res.json
case_051,2,607628,607628,357955,1.6974982888910617,9045258,fork_join_heft,q1_optimization/case_051/n2/fork_join_heft/case_051_multicore_res.json
case_051,3,607628,607628,291222,2.086476983194951,9045304,fork_join_heft,q1_optimization/case_051/n3/fork_join_heft/case_051_multicore_res.json
case_051,4,607628,607628,254308,2.389338911870645,9045350,fork_join_heft,q1_optimization/case_051/n4/fork_join_heft/case_051_multicore_res.json
case_051,5,607628,607628,253856,2.3935932182024455,9045396,fork_join_heft,q1_optimization/case_051/n5/fork_join_heft/case_051_multicore_res.json
case_052,2,180301,91254,91254,1.9758147588050934,102912,baseline,baseline_results_29_55/case_052/q1_n2/case_052_multicore_res.json
case_052,3,180301,63361,63361,2.845614810372311,181248,baseline,baseline_results_29_55/case_052/q1_n3/case_052_multicore_res.json
case_052,4,180301,47721,47721,3.778231805703988,259584,baseline,baseline_results_29_55/case_052/q1_n4/case_052_multicore_res.json
case_052,5,180301,51670,43555,4.13961657674205,443480,valley_split,q1_optimization/case_052/n5/valley_split/case_052_multicore_res.json
case_053,2,1472686,774929,774929,1.900414102453257,5959552,baseline,baseline_results_29_55/case_053/q1_n2/case_053_multicore_res.json
case_053,3,1472686,546106,546106,2.6967035703691224,5882944,baseline,baseline_results_29_55/case_053/q1_n3/case_053_multicore_res.json
