case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error
case_069,5,ok,14614,331026,457080,0,605e8536f560f44b3076a8c9da07cd3d1c4efb416c8c2b4c121c56c506f1b3d7,0.15611060000082944,
case_070,5,ok,27664,462848,882812,0,f2896306339620f997e60c58c996419eb18a8b3e73574d3271c79b070aeabfc7,0.15579439999419264,
case_071,5,ok,11906,219474,340920,0,32be0028072230062a6abde083261297f4f89ef993ba84cdad78d7f86116cdc4,0.08915860000706743,
case_072,5,ok,4863110,121488048,132591232,81879040,c0a4d0909d98a61cd48b445190b95f5b82717dea24c8f6862f353bb0369bc940,11.837098500007414,
case_073,5,ok,3224273,95796224,99837312,80909824,4f7f6d3e0acfc6ccd8a1f6151aded36c28b1f6eb2ade9af483d52be8771e2317,0.9662015999929281,
case_074,5,ok,347042,9035776,12812504,1277952,8bde87dbb9a44e95ca3e1c4c09703433bb33024e365f13ca144c61ccc7f873b3,0.751569499989273,
case_075,5,ok,369499,6786072,8623262,0,b8dd6eb6a01ad22dea7c4c66bc1da679238f348f6fe938ebc8e340691c431ed7,1.9472994999960065,
case_076,5,ok,1238120,37194752,41465426,20896768,162a333baa3fb62a3de6b8cb5cef2950e23877f6f82b72bf22e14896ead2e7af,14.1401818000013,
case_077,5,ok,121081,172032,2313392,0,4b5f3f8d483bc722783a6e95e26fdd9237bca50296070645508ea4428505a112,0.7457109999959357,
case_078,5,ok,528099,9331200,11676288,0,6b3b24e83b2abdd2abcac385a6d89bc7ccdd5b387821677443ff653c1f6df994,0.17240840000158641,
case_079,5,ok,6075976,47677440,57028608,24428544,27d1a1c7184c6496d232354cd037760c029314f30d493c1d001b028def277a22,8.211646499999915,
case_080,5,ok,113455,4571136,6549504,0,cb7a4f27a73a650821a086099dc3be0f35aaaaed2e213d22d961cd162633c73f,0.21840320000774227,
case_081,5,ok,30943,0,1741140,0,ae26e110b0e9d64eef0fc2c50bf20ec8d20f3c1e5fb6ea87c3845f9f42fa4215,0.6224354000005405,
case_082,5,ok,187739,2829592,3421598,0,2b79a56e8dcf36f94be82411fc38ebce69cf2dc28e2cec132788ae895df757e3,0.7947774000058416,
case_083,5,ok,197034,3721600,5159904,0,7bc8dee7e3372db6b1ac1ef6a582f78d0e8848584634df682eb17e36318e880a,0.5906638000014937,
case_084,5,ok,503472,0,13236330,0,12ef9362db41cdb9f8dce1edbb75273564fd7ef206e671573781bf8a4c516cf8,2.8372631999955047,
