case,cores,evaluation_budget,completed_evaluations,best_cycles,speedup,elapsed_seconds_at_last_evaluation,stopped_before_budget
case_016,3,3,2,7231183,1.0669793587024419,11.13224800000171,True
case_016,3,4,2,7231183,1.0669793587024419,11.13224800000171,True
case_016,3,5,2,7231183,1.0669793587024419,11.13224800000171,True
case_016,3,6,2,7231183,1.0669793587024419,11.13224800000171,True
case_016,4,1,1,7286633,1.058859832792457,6.1846369999984745,False
case_016,4,2,2,7286633,1.058859832792457,11.348734699997294,False
case_016,4,3,2,7286633,1.058859832792457,11.348734699997294,True
case_016,4,4,2,7286633,1.058859832792457,11.348734699997294,True
case_016,4,5,2,7286633,1.058859832792457,11.348734699997294,True
case_016,4,6,2,7286633,1.058859832792457,11.348734699997294,True
case_016,5,1,1,7378973,1.0456093280189533,6.437111300001561,False
case_016,5,2,2,7357373,1.0486790597676643,11.818104400001175,False
case_016,5,3,2,7357373,1.0486790597676643,11.818104400001175,True
case_016,5,4,2,7357373,1.0486790597676643,11.818104400001175,True
case_016,5,5,2,7357373,1.0486790597676643,11.818104400001175,True
case_016,5,6,2,7357373,1.0486790597676643,11.818104400001175,True
case_017,2,1,1,87680,1.8568658759124088,0.4893219999939902,False
case_017,2,2,2,87680,1.8568658759124088,0.8356911999944714,False
case_017,2,3,3,86600,1.8800230946882217,1.1972683999993023,False
case_017,2,4,4,86400,1.884375,1.5892489999969257,False
case_017,2,5,4,86400,1.884375,1.5892489999969257,True
case_017,2,6,4,86400,1.884375,1.5892489999969257,True
case_017,3,1,1,58579,2.7793236484064257,0.5189204000052996,False
case_017,3,2,2,58579,2.7793236484064257,0.8632943000047817,False
case_017,3,3,3,58579,2.7793236484064257,1.2401491000055103,False
case_017,3,4,4,58579,2.7793236484064257,1.6487166000006255,False
case_017,3,5,4,58579,2.7793236484064257,1.6487166000006255,True
case_017,3,6,4,58579,2.7793236484064257,1.6487166000006255,True
case_017,4,1,1,42384,3.841308040770102,0.5571576000002096,False
case_017,4,2,2,42384,3.841308040770102,0.9604525999966427,False
case_017,4,3,3,42384,3.841308040770102,1.3103371000033803,False
case_017,4,4,4,42384,3.841308040770102,1.689737699998659,False
case_017,4,5,4,42384,3.841308040770102,1.689737699998659,True
case_017,4,6,4,42384,3.841308040770102,1.689737699998659,True
case_017,5,1,1,35496,4.586713995943205,0.5190619999993942,False
case_017,5,2,2,35496,4.586713995943205,0.9152297000036924,False
case_017,5,3,3,35496,4.586713995943205,1.2895664000025135,False
case_017,5,4,3,35496,4.586713995943205,1.2895664000025135,True
case_017,5,5,3,35496,4.586713995943205,1.2895664000025135,True
case_017,5,6,3,35496,4.586713995943205,1.2895664000025135,True
case_018,2,1,1,502105,2.0003126836020355,2.199920099999872,False
case_018,2,2,2,502105,2.0003126836020355,4.056203799998912,False
case_018,2,3,3,502105,2.0003126836020355,5.0879623999935575,False
case_018,2,4,3,502105,2.0003126836020355,5.0879623999935575,True
case_018,2,5,3,502105,2.0003126836020355,5.0879623999935575,True
case_018,2,6,3,502105,2.0003126836020355,5.0879623999935575,True
case_018,3,1,1,338272,2.969110656513102,2.026909100000921,False
case_018,3,2,2,338272,2.969110656513102,3.8702491000003647,False
case_018,3,3,3,338272,2.969110656513102,5.227366000006441,False
case_018,3,4,3,338272,2.969110656513102,5.227366000006441,True
case_018,3,5,3,338272,2.969110656513102,5.227366000006441,True
case_018,3,6,3,338272,2.969110656513102,5.227366000006441,True
