case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_035,3,169571,95424,80298,2.1117711524570972,15.851358148893361,1106104,0,131200,62018,24,1,0,29.611871000000974,first_range
case_035,4,169571,95442,57436,2.9523469600947143,39.82104314662308,860672,0,73728,20882,24,6,0,40.854167600002256,cold
case_035,5,169571,95460,57788,2.9343635356821487,39.46364969620784,1089220,0,73728,20686,24,2,0,32.60121820000131,cold
case_036,2,931510,466068,466068,1.998656848356892,0.0,1152,0,13440,8192,15,5,0,11.590161599997373,cold
case_036,3,931510,311345,311345,2.991890025534375,0.0,2304,0,13440,8192,24,9,0,16.950539400000707,cold
case_036,4,931510,233584,233584,3.987901568600589,0.0,3456,0,13440,8192,24,12,0,16.218835100000433,cold
case_036,5,931510,187182,187182,4.976493466252097,0.0,4608,0,13440,8192,24,15,0,13.087995600002614,cold
case_037,2,210001,105374,105374,1.992910964754114,0.0,204800,0,225280,0,21,6,0,2.854466600001615,cold
case_037,3,210001,74038,73423,2.8601528131511924,0.8306545287555039,1302528,0,274432,0,24,21,0,4.556517699998949,cold
case_037,4,210001,53320,53320,3.938503375843961,0.0,614400,0,110592,0,24,14,0,3.7515172000021266,cold
case_037,5,210001,43800,43800,4.794543378995434,0.0,1925120,0,28672,0,24,21,0,4.481470400001854,cold
case_038,2,1364555,683459,680241,2.0059875838122077,0.4708402405996555,4281432,2776576,524288,115758,24,19,0,49.16971840000042,cold
case_038,3,1364555,462076,454331,3.0034380220588073,1.676131199196669,8208396,3329024,524288,110592,24,11,0,43.71292109999922,cold
case_038,4,1364555,346382,340987,4.001780126515087,1.5575289709049545,9405444,2569728,524288,45056,24,12,0,40.114462400000775,cold
case_038,5,1364555,280919,276832,4.929180875043348,1.4548677732727227,8981516,1413632,524288,65536,24,26,0,41.71222060000218,cold
