case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_016,4,7715523,7715523,2241799,1.0,3.441665822850309,70.94430280358182,14628,0,98304,65540,0.9999695342048392,359802394,True,8,140.09669741801918,band_w4_k4
case_016,5,7715523,7715523,2393034,1.0,3.22415937257891,68.98416348444557,19504,0,98304,131072,0.9999644482346565,359800564,False,8,134.22897141898284,band_w2_k5
case_017,2,162810,87680,81968,1.8568658759124088,1.986262931875854,6.514598540145985,286284,0,105472,119824,0.9477207056857665,1801310,False,8,6.746527789044194,eft_placement
case_017,3,162810,58579,57169,2.7793236484064257,2.8478720985149293,2.407005923624507,474328,0,101376,80404,0.9718773741553005,1847224,True,8,8.361519280006178,data_w8_k3
case_017,4,162810,42384,42150,3.841308040770102,3.8626334519572953,0.5520951302378256,259264,0,86016,49164,0.9999831638848494,1900644,True,8,6.674624801962636,eft_placement
case_017,5,162810,35496,35470,4.586713995943205,4.590076120665351,0.07324768988054992,341016,0,86016,49164,0.9999936864568185,1900664,True,8,5.514135094999801,chain_s4_r1770_d14_c1
case_018,2,1004367,502105,500869,2.0003126836020355,2.00524887745099,0.2461636510291672,3249156,1949696,524288,65536,0.9999997854673432,9322588,False,8,10.180622331041377,chain_s0_r2210_d16_c1
case_018,3,1004367,338272,338272,2.969110656513102,2.969110656513102,0.0,3867008,1392640,524288,65536,1.0,9322590,False,8,12.005937403999269,base_w0_k3
case_018,4,1004367,258133,258133,3.89088958017766,3.89088958017766,0.0,4853504,1204224,524288,65536,1.0,9322590,False,8,12.562845012987964,base_w0_k4
case_018,5,1004367,203865,203865,4.926627915532338,4.926627915532338,0.0,5693440,1064960,524288,65536,1.0,9322590,False,8,12.84646910597803,base_w0_k5
case_019,2,81144,43224,37659,1.8772903942254304,2.1547040548076155,12.874791782343143,712280,0,102944,97408,0.7812186144050212,1272552,True,8,1.8797953780158423,split_s0_d1_c0
case_019,3,81144,29121,29121,2.7864427732564128,2.7864427732564128,0.0,24576,0,36864,18432,1.0,1628932,True,8,1.9300477060023695,base_w0_k3
case_019,4,81144,24099,24099,3.3671106684924688,3.3671106684924688,0.0,51744,0,36864,18432,1.0,1628932,True,8,2.082054246973712,base_w0_k4
case_019,5,81144,24169,22891,3.357358599859324,3.5447992660871086,5.287765319210559,556132,0,23296,45056,0.8880923206125241,1446642,True,8,3.113419839995913,band_w4_k5
case_020,2,532746,266580,266580,1.9984469952734638,1.9984469952734638,0.0,0,0,0,32768,1.0,33030144,True,7,30.68113398895366,base_w0_k2
case_020,3,532746,177950,177950,2.993796010115201,2.993796010115201,0.0,0,0,0,32768,1.0,33030144,True,8,30.81197959900601,base_w0_k3
case_020,4,532746,133704,133704,3.984518039849219,3.984518039849219,0.0,0,0,0,32768,1.0,33030144,True,8,30.247847664984874,base_w0_k4
case_020,5,532746,107650,107650,4.948871342313051,4.948871342313051,0.0,0,0,0,32768,1.0,33030144,True,8,32.624396794009954,base_w0_k5
case_021,2,6567937,3194570,3194570,2.0559690349561914,2.0559690349561914,0.0,3174400,1638400,524288,0,1.0,47185920,False,8,16.38748904602835,base_w0_k2
case_021,3,6567937,2144024,2144024,3.063369160046716,3.063369160046716,0.0,7766016,3055616,524288,0,1.0,47185920,False,8,18.9793980679824,base_w0_k3
case_021,4,6567937,1550324,1550324,4.236493145948847,4.236493145948847,0.0,4608000,0,425984,0,1.0,47185920,True,8,17.20866450702306,base_w0_k4
case_021,5,6567937,1250168,1250168,5.253643510312214,5.253643510312214,0.0,11431936,2011136,524288,0,1.0,47185920,False,8,20.162565656006336,base_w0_k5
case_022,2,56780,28333,28228,2.004023576747962,2.011477965140995,0.37059259520700244,90956,0,33536,82972,0.992941707091583,2034194,True,8,4.539358759007882,valley_w12_k2
case_022,3,56780,19128,19128,2.968423253868674,2.968423253868674,0.0,13824,0,22528,72720,1.0,2048654,True,8,4.296960928011686,base_w0_k3
case_022,4,56780,14654,14654,3.874709976798144,3.874709976798144,0.0,13824,0,22528,60424,1.0,2048654,True,8,4.638363652047701,base_w0_k4
case_022,5,56780,11828,11685,4.800473452823808,4.859221223791185,1.2089956036523504,20748,0,22528,62472,0.9999970712477558,2048648,True,8,6.643193299008999,chain_s1_r945_d14_c0
case_023,2,122614,61227,53324,2.0026132261910594,2.299414897607081,12.907704117464517,1126626,231424,88576,130700,0.8641138025027878,2231764,False,8,3.2412445149966516,chain_s5_r1096_d5_c0
case_023,3,122614,41662,41456,2.943065623349815,2.9576900810497877,0.4944553790024483,358860,0,99328,26630,0.9777807892454466,2525334,True,8,4.254957159049809,chain_s0_r898_d8_c2
case_023,4,122614,31519,31519,3.890161489894984,3.890161489894984,0.0,281280,0,90112,28806,1.0,2582720,True,8,3.4027251030202024,base_w0_k4
case_023,5,122614,25191,25191,4.867373268230717,4.867373268230717,0.0,280992,0,90112,28806,1.0,2582720,True,8,3.6485946319880895,base_w0_k5
case_024,2,2555343,2555343,1336312,1.0,1.9122353163033783,47.70518087004367,2824,0,196608,65546,0.9999797568288223,119148880,True,8,32.256960099970456,eft_placement
case_024,3,2555343,2555343,953369,1.0,2.680329442220169,62.691153398976184,4032,0,131072,65542,0.9999730091050965,119148076,True,8,28.3097738189972,band_w4_k3
case_024,4,2555343,2555343,743623,1.0,3.43634207118392,70.8992882755857,4836,0,98304,65540,0.9999696352432335,119147674,True,8,28.07481966202613,band_w4_k4
case_024,5,2555343,2555343,795102,1.0,3.2138555807934077,68.88472506430644,6448,0,98304,131072,0.9999645492723654,119147068,False,8,27.140553695964627,band_w2_k5
case_025,2,4863026,2431840,2431840,1.9997310678334101,1.9997310678334101,0.0,27648,0,35328,6144,1.0,53234688,True,8,170.83007985597942,base_w0_k2
case_025,3,4863026,1622164,1622164,2.9978633479722148,2.9978633479722148,0.0,55296,0,35328,6144,1.0,53234688,True,8,162.10351646901108,base_w0_k3
