case,cores,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,wall_seconds,selected,bound_pruned,invalid_candidates,stop_reason,global_lower_bound_cycles,certified_gap,singlecore_cycles,baseline_cycles,speedup,baseline_speedup,reduction_percent
case_018,4,258133,4853504,6446352,1204224,524288,65536,3,5.1819338999994216,component_baseline,1,0,fixed_candidate_budget,242830.0,0.06301939628546727,1004367,258133,3.89088958017766,3.89088958017766,0.0
case_018,5,203865,5693440,7286288,1064960,524288,65536,3,5.3352593000017805,component_baseline,1,0,fixed_candidate_budget,194264.0,0.04942243544866787,1004367,203865,4.926627915532338,4.926627915532338,0.0
case_019,2,43224,27168,214152,0,36864,18432,2,0.506441099998483,component_baseline,1,0,fixed_candidate_budget,24218.0,0.784788174085391,81144,43224,1.8772903942254304,1.8772903942254304,0.0
case_019,3,29121,24576,211560,0,36864,18432,3,0.6162046000026749,component_baseline,0,0,fixed_candidate_budget,16145.333333333334,0.8036790816747872,81144,29121,2.7864427732564128,2.7864427732564128,0.0
case_019,4,24099,51744,238728,0,36864,18432,3,0.6515278000006219,component_baseline,0,0,fixed_candidate_budget,12234,0.9698381559588034,81144,24099,3.3671106684924688,3.3671106684924688,0.0
case_019,5,24169,73728,260712,0,36864,18432,3,0.6006774999987101,component_baseline,0,0,fixed_candidate_budget,12234,0.9755599149910086,81144,24169,3.357358599859324,3.357358599859324,0.0
case_020,2,266580,0,2359296,0,0,32768,1,4.874661499998183,component_baseline,0,0,certified_gap,266304.0,0.0010364095169430598,532746,266580,1.9984469952734638,1.9984469952734638,0.0
case_020,3,177950,0,2359296,0,0,32768,1,3.6690873999978066,component_baseline,0,0,certified_gap,177536.0,0.0023319214131218846,532746,177950,2.993796010115201,2.993796010115201,0.0
case_020,4,133704,0,2359296,0,0,32768,1,3.207982700005232,component_baseline,0,0,certified_gap,133152.0,0.004145638067772239,532746,133704,3.984518039849219,3.984518039849219,0.0
case_020,5,107650,0,2359296,0,0,32768,1,2.87378660000104,component_baseline,0,0,certified_gap,106521.6,0.010593156693102568,532746,107650,4.948871342313051,4.948871342313051,0.0
case_021,2,3194570,3174400,6512640,1638400,524288,0,2,4.818637599993963,component_baseline,1,0,fixed_candidate_budget,3096000.0,0.03183785529715766,6567937,3194570,2.0559690349561914,2.0559690349561914,0.0
case_021,3,2144024,7766016,11104256,3055616,524288,0,2,6.816577799996594,component_baseline,1,0,fixed_candidate_budget,2064000.0,0.03877131782945731,6567937,2144024,3.063369160046716,3.063369160046716,0.0
case_021,4,1550324,4608000,7946240,0,425984,0,1,1.8008732999951462,component_baseline,0,0,certified_gap,1548000.0,0.0015012919896639776,6567937,1550324,4.236493145948847,4.236493145948847,0.0
case_021,5,1250168,11431936,14770176,2011136,524288,0,1,4.90681819999736,component_baseline,0,0,certified_gap,1238400.0,0.009502583979328127,6567937,1250168,5.253643510312214,5.253643510312214,0.0
case_022,2,28333,6912,220598,0,22528,69644,2,0.9613600000011502,component_baseline,2,0,fixed_candidate_budget,27043.5,0.047682437554310564,56780,28333,2.004023576747962,2.004023576747962,0.0
case_022,3,19128,13824,227510,0,22528,72720,2,1.011970300001849,component_baseline,2,0,fixed_candidate_budget,18029.0,0.06095734649730988,56780,19128,2.968423253868674,2.968423253868674,0.0
case_022,4,14654,13824,227510,0,22528,60424,2,0.981932800001232,component_baseline,2,0,fixed_candidate_budget,13521.75,0.08373546323515813,56780,14654,3.874709976798144,3.874709976798144,0.0
case_022,5,11828,20736,234422,0,22528,62472,2,1.0024619000032544,component_baseline,2,0,fixed_candidate_budget,10817.4,0.09342355834119109,56780,11828,4.800473452823808,4.800473452823808,0.0
case_023,2,61227,84384,527828,0,90112,30724,4,1.2673861000002944,component_baseline,0,0,fixed_candidate_budget,34779.0,0.760458897610627,122614,61227,2.0026132261910594,2.0026132261910594,0.0
case_023,3,41662,196896,640340,0,100480,28806,4,1.1889173000017763,component_baseline,0,0,fixed_candidate_budget,23186.0,0.7968601742430776,122614,41662,2.943065623349815,2.943065623349815,0.0
case_023,4,31519,281280,724724,0,90112,28806,4,1.1708013999959803,component_baseline,0,0,fixed_candidate_budget,17389.5,0.8125305500445672,122614,31519,3.890161489894984,3.890161489894984,0.0
case_023,5,25191,280992,724436,0,90112,28806,4,1.276008599998022,component_baseline,0,0,fixed_candidate_budget,13911.6,0.8107909945656862,122614,25191,4.867373268230717,4.867373268230717,0.0
case_024,2,2056594,38931078,39324296,0,393216,65544,2,3.8530785999973887,greedy_schedule,2,0,fixed_candidate_budget,1277397.5,0.6099874941042236,2555343,2555343,1.2425121341402339,1.0,19.51788859656023
case_024,3,1918543,38931176,39324394,0,393216,65544,2,4.121922999998787,fork_join_w10,2,0,fixed_candidate_budget,851598.3333333334,1.2528731268066515,2555343,2555343,1.3319185444371067,1.0,24.920333591224352
case_024,4,1841433,38931274,39324492,0,393216,65544,2,4.324114399998507,fork_join_w13,2,0,fixed_candidate_budget,638698.75,1.883100992447535,2555343,2555343,1.3876926285126856,1.0,27.93793240281246
case_024,5,2197193,19269072,19662290,0,393216,65544,2,3.705183300000499,greedy_schedule,2,0,fixed_candidate_budget,510959.0,3.3001356273203912,2555343,2555343,1.1630034321063283,1.0,14.015730960579464
case_025,2,2431840,27648,8245248,0,35328,6144,2,152.05723679999937,component_baseline,1,0,fixed_candidate_budget,2351412.0,0.034204129263608385,4863026,2431840,1.9997310678334101,1.9997310678334101,0.0
case_025,3,1622164,55296,8272896,0,35328,6144,2,111.16786860000138,component_baseline,1,0,fixed_candidate_budget,1567608.0,0.03480206786390472,4863026,1622164,2.9978633479722148,2.9978633479722148,0.0
case_025,4,1217444,82944,8300544,0,35328,6144,2,68.59900850000122,component_baseline,1,0,fixed_candidate_budget,1175706.0,0.03550037169156228,4863026,1217444,3.9944555971362954,3.9944555971362954,0.0
case_025,5,975282,110592,8328192,0,35328,6144,2,63.7876311,component_baseline,1,0,fixed_candidate_budget,940564.8,0.03691101346765269,4863026,975282,4.986276789687495,4.986276789687495,0.0
