case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_026,3,ok,41698,41698,95664,95664,0.03752630228380806,21936,562614,1.0,0.16791960000000472,f7eb191f198ecb5cf2647983c812070d5b85c55fa36f90a6dd32a4142c7eebca,
case_026,4,ok,47004,40170,1504920,1504920,0.29305942797348195,429056,1035002,1.1701269604182225,0.31389690000014525,cd93c28a9188c6fd49b6bccf6aac5057ed2df66fe9b76bb07a2dbb26a8eb2007,
case_027,1,ok,2363952,2359515,1400832,1400832,0.2689393939393939,872448,2371584,1.0018804711985303,0.6342082000001028,c6f2b1e7c92ae2648eee7f5469fdfb604babcce40143818be045566c6a998d9a,
case_027,2,ok,1145854,1145655,1728512,1728512,0.37155963302752293,1327104,2244608,1.000173699761272,0.5769947999997385,0dd7e7780e85ac69db8c78a573e7816e3ad32acd5ca867b998735c78910b963c,
case_027,3,ok,1054242,1054242,16711680,16711680,0.0,0,10199040,1.0,0.887122300000101,69511d23bf1e5364b308e8cffead0abb047252e42d948591df635ce8dac8f583,
case_027,4,ok,559196,559196,3317760,3317760,0.0,0,5160960,1.0,0.5641026999996939,62cd079b9653ca2fdbcaff4c339044ce050a8d1d84641ecd8bea5e5f0712a440,
case_028,1,ok,43836040,43836040,277412256,277412256,0.0,0,278067744,1.0,27.08461669999997,c65ac88ba5cacd91449e6e58c113e97597afb798b7de4554b7b8526e5235a551,
case_028,2,ok,20336249,20332060,17337984,17337984,0.15581781173321438,2145888,11625888,1.000206029295605,15.767153700000108,b615ee11f08881bc32e9cc147f9bf6ddd9516e9b7b777ab2711f5a49eeacacf3,
case_028,3,ok,13486869,13486869,17309952,17309952,0.0,0,14832000,1.0,13.136857800000143,3dce058cab1db118466b7bec7606c4a894e8533f82c281538b73cf14169dcc7d,
case_028,4,ok,10286253,10282038,17367936,17367936,0.1346631162947612,2145888,13789344,1.0004099381854064,11.974361899999622,cdca0c8a6f92aeaa0096bda651d0a39982485e6a8b34e167a2994d2186326aab,
case_029,1,ok,37555,37555,0,0,0.0,0,258132,1.0,0.28193329999976413,3694adfe7e10c19d9c2263208b2bcfe6077336b531861711cb81e099400287ac,
case_029,2,ok,19504,19448,266530,266530,0.4959054034839617,258090,262352,1.0028794734677087,0.34629960000029314,5afbd103b1b4b27a63a37b1f03e5963e8ad2a9bccfc4dbf88014dff17a27a8c6,
case_029,3,ok,14231,14035,114800,114800,0.3075767815574078,114688,258188,1.0139650872817956,0.2908737999996447,4e9e7ca2bf87a5654c41beef58815abe71879050bbda83012e6a0eb3035250c1,
case_029,4,ok,11028,11028,0,0,0.0,0,258132,1.0,0.24291700000003402,5b44a65da3d901be1efa843fa3fa50a4f56e8b5def1fac6ba4015071e8a2d8ff,
case_030,1,ok,2808034,2807891,5519360,5519360,0.259867995341012,2056192,5856256,1.0000509279028282,5.92724139999973,75f420d509330aa10096424e73d5714ed2eeac5492d77e9e32adbb616530d642,
case_030,2,ok,1391882,1391813,1332224,1332224,0.3532160527762507,1315840,2409472,1.0000495756254613,5.069417999999587,6f62e6fe2eab7c0cba9c0745b8328c6ee80057ee8dc07590315a1f8ddda4964d,
case_030,3,ok,929090,928900,3901440,3901440,0.5061005368472425,3185664,3108864,1.0002045430078588,4.345704999999725,294ec56fc4cfdeffb8675c2aa152388135e3bc3fd013a8e01a8423f7cfdb0c4f,
case_030,4,ok,698261,697853,5255168,5255168,0.45849511313428837,3506688,4141568,1.000584650348999,4.4125183999999535,cb15e7732c4abc2ff9e342c4712b74a83d93a019afc0ed0f24801da12790fb64,
case_031,1,ok,1414369,1414159,3491328,3491328,0.26059362793218216,1479168,4196980,1.0001484981533193,3.11775949999992,34447dee47bc34c29c86a194dd0d8bc5a7236c3b05dfeb0e268aeaab18512764,
case_031,2,ok,730736,730736,1774080,1774080,0.3519038116648564,1393152,2565748,1.0,2.594625200000337,8bd5fceb6b417cfab163f46a8b3a59d411b8a08ff900f7a59229ec428d51850c,
case_031,3,ok,483278,483278,2786304,2786304,0.5215657464991821,2592768,2378356,1.0,2.3764672999996037,66f7adfa60cfcd36a8ca18e8aaf7764507719e00fd5ea6da15de78964f440625,
case_031,4,ok,379916,379563,8241810,8241810,0.5419014784986687,5546056,4688380,1.0009300168878421,2.845414399999754,3c6d05c90a1fcd5b6ee6fbcc2c2a833eba175663a93fecc682e06d18fc24bf31,
case_032,1,ok,41443,41443,0,0,0.0,0,279156,1.0,0.22219399999994494,715397ff071391c2671330279eb2d971e4764f0406495abd55cc7c876fbae7b4,
case_032,2,ok,17595,17595,6216,6216,0.0217820949497498,6216,279156,1.0,0.23277729999972507,75b8efd5f84bdc56929f2040a16bc2e27aa9ae8a2df57a995d8042b8acc8e597,
case_032,3,ok,11920,11920,12360,12360,0.04239904499238464,12360,279156,1.0,0.2336537999999564,4435d1809c0bf5c3bff4b8977d218a2dd3e1ea846e35b571f6415fef1b8bfdcb,
case_032,4,ok,11205,11205,12360,12360,0.04239904499238464,12360,279156,1.0,0.23808539999981804,ef0422fd87428bd2e73b80919250ff5a13657c2079dd1492be6a28f9e3708a15,
case_033,1,ok,1774196,1774080,4592640,4592640,0.09627692445862406,720384,6762032,1.000065386002886,1.4680449000002227,0bc07706d649333787c2a6b4067cede9127b9bfca785662db77bb9cd9fb262ac,
case_033,2,ok,908199,908199,3069984,3069984,0.29097547552250425,1734144,4225616,1.0,1.3410782999999356,ee27ca8a3f3ef67a18926d75c464df549a095be9a6a815682004b8ba9c8c59d5,
case_033,3,ok,615560,615560,4309056,4309056,0.3298001675827412,2374176,4824656,1.0,1.4310523999997713,bc70aa3bcd9bed70ca12b62db233afa50f9a086bbfce488305060a81130b0ef0,
case_033,4,ok,472774,472504,5873760,5873760,0.3027599818155594,2653248,6110288,1.000571423733979,1.5670169999998507,902acdc04fe912ca0f3a817e37bf1b09c9f82620b5176b1ba884ec61648062e5,
case_034,1,ok,842996,842733,1079832,1079832,0.309046599146855,1038336,2321468,1.0003120798639664,1.4638300000001436,ce9cc69aef99da272de815eec7776435c103c628169ed7880fd1a3e90c68d40f,
case_034,2,ok,415251,415251,1066496,1066496,0.30905309459491764,1034240,2312240,1.0,1.5435311000001093,f0af77411ad881040f2ce84e3058122acd11e63675b39485de4b6395e3e0a4fd,
case_034,3,ok,277444,277323,2437120,2437120,0.5085153941910121,2398720,2318384,1.0004363143338273,1.6109713999999258,0153ea8c5e3505653bfea94ce3d9a1b11b1a6558a622273d9db15d1fd6311999,
case_034,4,ok,213112,212928,3176960,3176960,0.5757127065991514,3141632,2315312,1.000864141869552,1.4813686000002235,44ece2a59f865bc31fe97da6687cb524b703bad8fed202621d3a2311cbd6eac0,
case_035,1,ok,169571,169571,0,0,0.0,0,396878,1.0,1.5758786999999757,24c8a6fa8163cc60528e05c5155554fc48407414f182cc8f8ae0c4bb998d6f39,
case_035,2,ok,95406,95406,0,0,0.0,0,396878,1.0,1.2850122999998348,936ef0ac00fed42fb30caae1cb2ef9c8be8bc8c7f0b2114d0c30a9183725ac93,
case_035,3,ok,76605,75986,1067848,1067848,0.3202433102479907,350318,743594,1.0081462374647963,1.6805850999999166,7cdae1ddfef2c0d0b8342c6acc430c1db3d5a7964e8471038f7764f24c27ee2c,
case_035,4,ok,72762,72824,1421056,1421056,0.2788170467781903,326976,845750,0.9991486323190157,1.8018510000001697,ac097ac63294990ecefe25e087ddfc46f2482cea8fff4dc97e0c6df4224961c9,
case_036,1,ok,931510,931510,0,0,0.0,0,3277952,1.0,1.3671331000000464,04714fa9ee46ae937699d59b15bc62bada356ca8d67adde6909797bcf4ebdc31,
case_036,2,ok,466068,466068,1152,1152,0.0,0,3279104,1.0,1.1364306999998917,1091950ace1db6366b0a8c01cec87a9da2f235d68013ad2a8c094b1d27116ae4,
case_036,3,ok,311345,311345,2304,2304,0.0,0,3280256,1.0,1.056209200000012,b5bad51cacdc26bc9066743254ae34f5de87d8385198c90fc229eebb21ceb00d,
case_036,4,ok,233584,233584,3456,3456,0.0,0,3281408,1.0,0.9292817999998988,64c91dd4d1bfd63fa955f5c690411caf24d4c1071c32871d990ca064e6fba07a,
case_037,1,ok,210001,210001,0,0,0.0,0,532480,1.0,0.22125180000011824,04f9316694e08bd337ed723732ca7e988c6f52fb340bccfa267cbd12a7e4455d,
case_037,2,ok,105374,105374,204800,204800,0.0,0,737280,1.0,0.2328085999997711,f797354f61480b6e37404bfc8c2bad088a272a5b578d6e8ecc6359d93ae54745,
