case,cores,strategy,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,subgraphs,wall_seconds,error
case_046,5,band_24,ok,126393,5007744,6069216,30,0.156,
case_046,5,mask_stage_16,ok,163248,7192736,8254208,64,0.201,
case_046,5,mask_band_32,ok,148300,6906016,7967488,32,0.189,
case_047,5,band_6,ok,177066,3822552,4286494,357,5.6,
case_047,5,band_12,ok,176941,2773720,3237662,163,4.244,
case_047,5,band_24,ok,233459,1512446,1976388,68,3.42,
case_047,5,mask_stage_16,ok,174774,2357804,2821746,143,3.747,
case_047,5,mask_band_32,ok,276693,1102814,1566756,48,3.441,
case_050,5,band_6,ok,82198,2366124,2685500,151,1.266,
case_050,5,band_12,ok,70886,1451272,1770648,72,1.039,
case_050,5,band_24,ok,90155,512094,831470,28,0.991,
case_050,5,mask_stage_16,ok,64918,1364938,1684314,124,1.119,
case_050,5,mask_band_32,ok,80963,764868,1084244,79,1.054,
case_051,5,band_6,ok,521678,15335960,15729178,48,0.263,
case_051,5,band_12,ok,616307,5898652,6291870,16,0.199,
case_051,5,band_24,ok,612171,2752540,3145758,8,0.17,
case_051,5,mask_stage_16,ok,614767,4325420,4718638,12,0.173,
case_051,5,mask_band_32,ok,615373,1966100,2359318,6,0.182,
case_052,5,band_6,ok,45093,963284,1773488,15,0.291,
case_052,5,band_12,ok,47769,562196,1372400,10,0.311,
case_052,5,mask_stage_16,ok,48416,1124544,1934748,92,0.265,
case_052,5,mask_band_32,ok,48415,1124528,1934732,88,0.242,
case_053,5,band_6,ok,444286,13058006,16053294,201,4.346,
case_053,5,band_12,ok,442938,9668230,12663518,93,3.749,
case_053,5,band_24,ok,475014,8402768,11398056,43,4.05,
case_053,5,mask_stage_16,ok,472715,16385344,19380632,231,4.146,
case_053,5,mask_band_32,ok,506928,14117254,17112542,116,3.868,
case_057,5,band_6,ok,34080,1078832,1421292,29,0.196,
case_057,5,band_12,ok,21825,590624,933084,17,0.154,
case_057,5,band_24,ok,22446,21344,363804,9,0.168,
case_057,5,mask_stage_16,ok,25649,631708,974168,90,0.189,
case_057,5,mask_band_32,ok,24159,619376,961836,76,0.193,
case_061,5,band_6,ok,32344,452704,996892,26,0.329,
case_061,5,band_12,ok,23828,271112,815300,14,0.322,
case_061,5,band_24,ok,24629,150276,694464,7,0.331,
case_061,5,mask_stage_16,ok,30867,447268,991456,113,0.29,
case_061,5,mask_band_32,ok,27660,430812,975000,93,0.263,
case_066,5,band_6,ok,192651,3980212,5087246,125,1.838,
case_066,5,band_12,ok,166952,2847014,3954048,62,1.658,
case_066,5,band_24,ok,173438,1803322,2910356,31,1.575,
case_066,5,mask_stage_16,ok,129176,2771130,3878164,153,1.903,
case_066,5,mask_band_32,ok,165813,1947336,3054370,100,1.75,
case_067,5,band_6,ok,15659351,230592000,236640128,105,2.339,
case_067,5,band_12,ok,15664470,214617600,220665728,55,1.94,
case_067,5,band_24,ok,15742541,210109952,216158080,30,2.124,
case_067,5,mask_stage_16,ok,16002415,272580864,278628992,568,3.636,
case_067,5,mask_band_32,ok,14688788,267491584,273539712,284,2.727,
case_068,5,band_6,ok,217489,4442070,7213320,185,1.925,
case_068,5,band_12,ok,194682,3082090,5853340,83,1.48,
case_068,5,band_24,ok,207224,1841558,4612808,34,1.342,
case_068,5,mask_stage_16,ok,178518,3046400,5817650,210,1.531,
case_068,5,mask_band_32,ok,226366,1822048,4593298,135,1.452,
case_069,5,band_6,ok,24092,740340,866394,36,0.248,
case_069,5,band_12,ok,19157,492938,618992,18,0.201,
case_069,5,band_24,ok,17025,287562,413616,8,0.192,
case_069,5,mask_stage_16,ok,14673,493318,619372,34,0.211,
case_069,5,mask_band_32,ok,11931,346298,472352,16,0.154,
case_071,5,band_6,ok,20064,541140,662586,36,0.164,
case_071,5,band_12,ok,15028,373610,495056,18,0.13,
case_071,5,band_24,ok,12512,226698,348144,8,0.124,
case_071,5,mask_stage_16,ok,10768,354112,475558,29,0.151,
case_071,5,mask_band_32,ok,8478,254614,376060,14,0.119,
case_073,5,band_6,ok,3473888,113733632,117774720,105,1.155,
case_073,5,band_12,ok,3436246,111542272,115583360,55,0.882,
case_073,5,band_24,ok,3440830,110923264,114964352,30,0.877,
case_073,5,mask_stage_16,ok,3670363,143078144,147119232,312,1.407,
case_073,5,mask_band_32,ok,3435158,142379264,146420352,156,1.12,
case_075,5,band_6,ok,705177,8423928,10261118,357,2.819,
case_075,5,band_12,ok,748046,6200664,8037854,163,2.072,
case_075,5,band_24,ok,973880,3584574,5421764,68,1.65,
case_075,5,mask_stage_16,ok,712842,5353312,7190502,133,1.878,
case_075,5,mask_band_32,ok,1189288,2456598,4293788,42,1.579,
case_077,5,band_6,ok,158041,2933078,5074438,108,1.263,
case_077,5,band_12,ok,143691,2008812,4150172,52,1.165,
case_077,5,band_24,ok,137902,1027320,3168680,25,1.198,
case_077,5,mask_stage_16,ok,153509,2663608,4804968,152,1.19,
case_077,5,mask_band_32,ok,149992,1842368,3983728,95,1.097,
case_078,5,band_6,ok,598925,11746008,14091096,105,0.267,
case_078,5,band_12,ok,621455,12102792,14447880,55,0.184,
case_078,5,band_24,ok,653653,13002144,15347232,30,0.167,
case_078,5,mask_stage_16,ok,654963,16083840,18428928,72,0.227,
case_078,5,mask_band_32,ok,512732,15629184,17974272,32,0.203,
case_080,5,band_6,ok,113730,4743168,6721536,10,0.462,
case_080,5,mask_stage_16,ok,119170,4952064,6930432,18,0.259,
case_080,5,mask_band_32,ok,119170,4952064,6930432,18,0.258,
case_082,5,band_6,ok,358343,4303756,4895762,107,1.151,
case_082,5,band_12,ok,427269,3338730,3930736,52,1.077,
case_082,5,band_24,ok,488111,1470858,2062864,22,0.979,
case_082,5,mask_stage_16,ok,348967,3134738,3726744,67,0.958,
case_082,5,mask_band_32,ok,484044,1811538,2403544,34,0.898,
