case,cores,returncode,makespan_cycles,cache_hit_rate,process_wall_s
case_065,2,0,25554,0.047174323473882944,2.8267782000039006
case_065,3,0,17814,0.08485795940301424,2.8968255999934627
case_065,4,0,14387,0.12187450580731317,3.9388088999985484
case_066,1,0,335294,1.0737813029620257e-05,36.11434870000812
case_066,2,0,185574,0.1746767643029678,56.820424000005005
case_066,3,0,136969,0.261734821690154,54.94852510000055
case_066,4,0,111221,0.27067136917815887,55.777041099994676
case_067,1,0,60825415,0.020859205979039643,133.57331179999164
case_067,2,0,30464020,0.20470807048225798,121.4237781999982
case_067,3,0,20198592,0.4275320203929993,134.49284009999246
case_067,4,0,15126245,0.5895102625814651,126.64334180000878
case_068,1,0,340538,0.04549810915140336,42.05808370000159
case_068,2,0,185824,0.11727992800879196,62.252219500005594
case_068,3,0,134625,0.32570904441457105,46.80442729999777
case_068,4,0,112483,0.2896855351846435,50.940237699993304
case_069,1,0,21985,0.0,3.0810562999977265
case_069,2,0,13519,0.19591650192377186,4.300117299993872
case_069,3,0,10169,0.3085121999476644,5.215736899990588
case_069,4,0,9200,0.2805420227351383,5.052536900009727
case_070,1,0,117300,0.0,1.678515299994615
case_070,2,0,58257,0.23577635319856863,7.0126636999921175
case_070,3,0,45647,0.23830368873465974,6.709916500010877
case_070,4,0,36335,0.2432724571604211,7.275762799996301
case_071,1,0,16560,0.0,1.962635499992757
case_071,2,0,10120,0.11476777487236957,3.785694099991815
case_071,3,0,8517,0.42962662062895635,3.1545562999963295
case_071,4,0,7944,0.30931367715215463,4.210323100007372
case_072,1,0,23883003,0.026210156445647174,200.95435390000057
case_072,2,0,11819724,0.08667751314952236,188.1667643999972
case_072,3,0,7911642,0.1734358521251968,195.91180430000531
case_072,4,0,5950082,0.21187593472010766,197.78490860000602
case_073,1,0,8209463,0.0,44.083629600005224
case_073,2,0,4145668,0.4841993036698929,45.09205189999193
case_073,3,0,2794261,0.3180551009582285,45.59432540000125
case_073,4,0,2116842,0.7418076020008847,48.148417000003974
case_074,1,0,1678120,0.16680485013829857,17.667949800001225
case_074,2,0,818777,0.2677218820954363,31.082032300007995
case_074,3,0,546634,0.2474934496519421,31.12128369999118
case_074,4,0,410399,0.3461782503525361,38.851306500000646
case_075,1,0,1307188,0.0,53.380736699997215
case_075,2,0,733447,0.12799254062378068,60.82099750000634
case_075,3,0,546687,0.384845226632351,68.79833619999408
case_075,4,0,397884,0.3272934689339165,56.33588780001446
case_076,1,0,6183098,0.13357661937269952,208.93957000000228
case_076,2,0,3067211,0.2583862194016319,186.98222059999534
case_076,3,0,2057661,0.3286015131425006,182.80622779999976
case_076,4,0,1543754,0.32289837367336033,207.0919886999909
case_077,1,0,490809,0.0,26.53259670000989
case_077,2,0,250631,0.026082004763022353,30.783811899993452
case_077,3,0,178517,0.050838051231677325,38.05500120000215
case_077,4,0,144734,0.04957783107363878,31.34173019998707
case_078,1,0,2065085,0.0,2.627391899994109
case_078,2,0,1024634,0.0,4.257247499990626
case_078,3,0,759650,0.6298420697032825,4.416783299995586
case_078,4,0,520320,0.0,4.586010599989095
case_079,1,0,31052251,0.0,180.22773719999532
case_079,2,0,15390110,0.0,182.01407710000058
case_079,3,0,10173788,0.13635757764251122,184.26974279999558
case_079,4,0,7619754,0.18760450339984394,193.2412478999904
case_080,1,0,291826,0.1686143572621035,1.8983998999901814
case_080,2,0,145674,0.436,6.12904550001258
case_080,3,0,100098,0.0,7.682545700008632
