case,scene,cores,speedup,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,other_added_copy_bytes
case_074,A,4,3.9760971712740614,423088,8429568,1785856,6643712
case_074,A,5,4.847364295964177,347042,9035776,1277952,7757824
case_075,A,2,1.8431115127916355,782269,2960082,0,2960082
case_075,A,3,2.3183861766001717,621902,4795646,0,4795646
case_075,A,4,3.149822061724592,457743,4319402,0,4319402
case_075,A,5,3.641501952325869,395938,6346198,0,6346198
case_076,A,2,2.015046600970072,3069464,30744576,26670080,4074496
case_076,A,3,3.0001387265965564,2061609,35117056,26968064,8148992
case_076,A,4,3.9899964842225453,1550155,35703808,23480320,12223488
case_076,A,5,4.995568280942074,1238120,37194752,20896768,16297984
case_077,A,2,1.9754721119907472,250735,57344,0,57344
case_077,A,3,2.771191513883372,178739,114688,0,114688
case_077,A,4,3.4222781101883455,144734,172032,0,172032
case_077,A,5,4.090815239385205,121081,172032,0,172032
case_078,A,2,1.8218180866071385,1260358,12535344,10386864,2148480
case_078,A,3,2.7898078724544284,823047,17398656,0,17398656
case_078,A,4,3.3232931552529656,690924,13146912,6701472,6445440
case_078,A,5,4.002131664720339,573730,16722816,0,16722816
case_079,A,2,2.010311665708304,15446486,31780864,28131328,3649536
case_079,A,3,3.049812447675691,10181692,39960576,28336128,11624448
case_079,A,4,4.066760097144647,7635624,30445568,19496960,10948608
case_079,A,5,5.110660575354478,6075976,47677440,24428544,23248896
case_080,A,2,2.0019598974822856,145926,2191360,286720,1904640
case_080,A,3,2.9119162721156244,100325,3047424,0,3047424
case_080,A,4,2.8877093094517923,101166,3452928,0,3452928
case_080,A,5,2.9119162721156244,100325,3047424,0,3047424
case_081,A,2,1.9749544626593807,76860,0,0,0
case_081,A,3,2.9223379473653814,51943,0,0,0
case_081,A,4,3.834369000707285,39588,0,0,0
case_081,A,5,4.905632937982743,30943,0,0,0
case_082,A,2,1.9002216359951614,379451,1237914,0,1237914
case_082,A,3,2.694281796135551,267619,1844266,0,1844266
case_082,A,4,3.305116910143519,218159,1693882,0,1693882
case_082,A,5,3.4892738754869463,206645,2687818,0,2687818
case_083,A,2,1.6411337858631987,644672,14241216,13310816,930400
case_083,A,3,2.0638812538649263,512623,14842752,12981952,1860800
case_083,A,4,2.350944050272316,450029,14977600,12186400,2791200
case_083,A,5,2.3910527029470257,442480,15058048,11336448,3721600
case_084,A,2,1.9978550689533183,1255052,0,0,0
case_084,A,3,2.998507569778288,836220,0,0,0
case_084,A,4,3.986169137144928,629028,0,0,0
case_084,A,5,4.98024120507198,503472,0,0,0
case_085,A,2,1.9322262885654402,1649858,4875082,0,4875082
case_085,A,3,2.6786973791123887,1190093,7265394,0,7265394
case_085,A,4,3.5704754438035504,892850,6393754,0,6393754
case_085,A,5,3.985815398887987,799811,9685570,0,9685570
case_086,A,2,1.5925084061869537,74350,867194,0,867194
case_086,A,3,2.108615899700812,56152,1233928,0,1233928
case_086,A,4,2.4981116948330064,47397,1201206,0,1201206
case_086,A,5,2.4179174579836222,48969,1602402,0,1602402
case_087,A,2,2.0018148994022873,1985234,9999360,7994880,2004480
case_087,A,3,2.8688412874760063,1385253,10722816,7059456,3663360
case_087,A,4,3.715262125103187,1069661,11796480,6612480,5184000
case_087,A,5,4.472766582930409,888504,11773440,5483520,6289920
case_088,A,2,1.658551695497961,146889,1265738,0,1265738
case_088,A,3,2.071307112856876,117618,1740380,0,1740380
case_088,A,4,2.331677577428123,104484,2142060,0,2142060
case_088,A,5,2.423844156360995,100511,2205234,0,2205234
case_089,A,2,1.998350786547954,346832,238720,0,238720
case_089,A,3,2.8450417463692563,243614,477440,0,477440
case_089,A,4,3.8902784014369107,178160,716160,0,716160
case_089,A,5,4.701096098540344,147432,954880,0,954880
case_090,A,2,1.7004040462344334,692990,19093104,16595952,2497152
case_090,A,3,2.0823107589434025,565892,19430136,14784504,4645632
case_090,A,4,2.253898636409716,522811,19748184,12973056,6775128
case_090,A,5,2.223544574184637,529948,20254728,11328264,8926464
case_091,A,2,2.0014546695174733,4590046,57827296,51348960,6478336
case_091,A,3,2.9916445470884057,3070809,63099200,50142528,12956672
case_091,A,4,3.967460135459327,2315529,67391136,47956128,19435008
case_091,A,5,4.900909200998878,1874503,71279104,45365760,25913344
case_092,A,2,1.702660866146298,2828252,66389088,65458688,930400
case_092,A,3,2.157695747476033,2231804,66784736,64923936,1860800
case_092,A,4,2.4980464048869964,1927728,67180384,64389184,2791200
case_092,A,5,2.89878126741928,1661234,66980256,63258656,3721600
case_093,A,2,1.9616940280751844,37827,8192,0,8192
case_093,A,3,2.956021192686133,25103,16384,0,16384
case_093,A,4,3.751706355225239,19779,24576,0,24576
case_093,A,5,4.674036281179139,15876,32768,0,32768
case_094,A,2,1.7699108441824896,53614,106272,0,106272
case_094,A,3,2.37890145152799,39889,212544,0,212544
case_094,A,4,3.090038750854798,30709,318816,0,318816
case_094,A,5,3.716882099490795,25530,259200,0,259200
case_095,A,2,1.9991111238960964,1042890,0,0,0
case_095,A,3,2.9964471273040854,695775,0,0,0
case_095,A,4,3.9755254356224565,524422,0,0,0
case_095,A,5,4.953886401870491,420852,0,0,0
case_096,A,2,1.7847164811870695,47175,67392,0,67392
case_096,A,3,2.5011585764363375,33662,67392,0,67392
case_096,A,4,3.120145271271865,26984,78336,0,78336
case_096,A,5,3.112187188112224,27053,134784,0,134784
case_097,A,2,2.045625339780212,5617602,11796480,9240576,2555904
case_097,A,3,3.1393628503966307,3660459,16031744,7512064,8519680
case_097,A,4,4.37453805005733,2626908,14221312,6553600,7667712
case_097,A,5,5.466035594487687,2102348,21311488,4272128,17039360
case_098,A,2,1.9768037791345425,89756,0,0,0
case_098,A,3,2.028884416594246,87452,3007272,0,3007272
case_098,A,4,2.2999844446748936,77144,3007276,0,3007276
case_098,A,5,2.219456362658394,79943,3007280,0,3007280
case_099,A,2,2.0002649767313456,811392,7303168,5398528,1904640
case_099,A,3,3.008155200886693,539533,8011776,4202496,3809280
case_099,A,4,3.989604407003813,406807,9322496,3608576,5713920
case_099,A,5,4.81286456062938,337221,10698752,3080192,7618560
case_100,A,2,1.6757310816351407,90243,12288,0,12288
case_100,A,3,2.6158170590372074,57811,72192,0,72192
case_100,A,4,1.9712311803428273,76715,2934762,0,2934762
case_100,A,5,2.603477662047,58085,211968,0,211968
case_001,B,2,1.9946435294520313,116868,1152,0,1152
case_001,B,3,2.9678528232223567,78545,2304,0,2304
case_001,B,4,3.952088702020887,58984,3456,0,3456
case_001,B,5,4.9073723211654245,47502,4608,0,4608
case_002,B,2,2.0480133227001924,127902,681984,267264,414720
case_002,B,3,3.0274259165087143,86524,479232,0,479232
case_002,B,4,3.646430758950944,71836,615936,0,615936
case_002,B,5,4.176086090075727,62725,662016,0,662016
case_003,B,2,1.8984348155036805,317215,1059210,0,1059210
case_003,B,3,2.7661963032374235,217704,2458894,0,2458894
case_003,B,4,3.3404260039937874,180280,2854806,0,2854806
case_003,B,5,3.81801697848842,157729,4863512,0,4863512
case_004,B,2,1.9709103147573264,199074,110592,0,110592
case_004,B,3,2.927098020784375,134043,221184,0,221184
case_004,B,4,3.765855952700887,104188,331776,0,331776
case_004,B,5,4.441391879195391,88341,442368,0,442368
case_005,B,2,1.82139931805627,52497,324774,0,324774
case_005,B,3,2.367192335305622,40393,900684,0,900684
case_005,B,4,2.7483544594866487,34791,948786,0,948786
case_005,B,5,1.7350390128833242,55110,1426582,0,1426582
case_006,B,2,1.7968980477223426,46100,29576,12296,17280
case_006,B,3,2.6590376528745225,31153,30080,0,30080
