case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_005,3,95618.0,95618.0,95618.0,95618.0,1.0,1.0,1.0,0.0,0
case_005,4,95618.0,95618.0,95618.0,95618.0,1.0,1.0,1.0,0.0,0
case_005,5,95618.0,95618.0,95618.0,95618.0,1.0,1.0,1.0,0.0,0
case_006,1,82837.0,,82837.0,82837.0,,1.0,1.0,0.029275126148920052,16384
case_006,2,82837.0,46100.0,46100.0,46100.0,1.7968980477223426,1.7968980477223426,1.0,0.05161686765496582,29568
case_006,3,82837.0,31153.0,31153.0,31153.0,2.6590376528745225,2.6590376528745225,1.0,0.05246414020204275,30080
case_006,4,82837.0,31428.0,31428.0,31428.0,2.6357706503754614,2.6357706503754614,1.0,0.041497919556171985,23936
case_006,5,82837.0,31733.0,31733.0,31733.0,2.6104370844231557,2.6104370844231557,1.0,0.07318745056683364,44416
case_007,1,1012562.0,,1012562.0,1012562.0,,1.0,1.0,0.0,0
case_007,2,1012562.0,507494.0,507494.0,507494.0,1.9952196479170197,1.9952196479170197,1.0,0.0,0
case_007,3,1012562.0,338094.0,338094.0,338094.0,2.994912657426633,2.994912657426633,1.0,0.0,0
case_007,4,1012562.0,254398.0,254398.0,254398.0,3.980227831979811,3.980227831979811,1.0,0.0,0
case_007,5,1012562.0,203834.0,203834.0,203834.0,4.967581463347626,4.967581463347626,1.0,0.0,0
case_008,1,487605.0,,487605.0,487605.0,,1.0,1.0,0.0,0
case_008,2,487605.0,244266.0,244266.0,244266.0,1.9962049568912579,1.9962049568912579,1.0,0.0,0
case_008,3,487605.0,163359.0,163359.0,163359.0,2.984867684057811,2.984867684057811,1.0,0.0,0
case_008,4,487605.0,123060.0,123060.0,123060.0,3.962335446123842,3.962335446123842,1.0,0.0,0
case_008,5,487605.0,100603.0,100603.0,100603.0,4.846823653370178,4.846823653370178,1.0,0.0,0
case_009,1,153261.0,,153261.0,153261.0,,1.0,1.0,0.0,0
case_009,2,153261.0,92198.0,92198.0,92198.0,1.66230286991041,1.66230286991041,1.0,0.0,0
case_009,3,153261.0,92207.0,92207.0,92207.0,1.6621406183912284,1.6621406183912284,1.0,0.04728245185370452,24576
case_009,4,153261.0,92216.0,92216.0,92216.0,1.6619783985425522,1.6619783985425522,1.0,0.09029551057599394,49152
case_009,5,153261.0,92225.0,92225.0,92225.0,1.6618162103551097,1.6618162103551097,1.0,0.04514775528799697,24576
