case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_044,3,154407.0,123553.0,123553.0,83153.0,1.2497227910289512,1.2497227910289512,1.4858513823914952,0.53980017480779,3300416
case_044,4,154407.0,124268.0,124268.0,89039.0,1.2425322689670713,1.2425322689670713,1.3956580824133245,0.43540697562199615,2887424
case_044,5,154407.0,132892.0,132892.0,102921.0,1.161898383649881,1.161898383649881,1.2912039331137475,0.3461247510127347,2474432
case_045,1,125614.0,,125614.0,125614.0,,1.0,1.0,0.0,0
case_045,2,125614.0,63059.0,63059.0,63059.0,1.99200748505368,1.99200748505368,1.0,0.0,0
case_045,3,125614.0,42601.0,42601.0,42601.0,2.94861622966597,2.94861622966597,1.0,0.0,0
case_045,4,125614.0,31878.0,31878.0,31878.0,3.940460505677897,3.940460505677897,1.0,0.0,0
case_045,5,125614.0,26164.0,26164.0,26164.0,4.801024308209754,4.801024308209754,1.0,0.0,0
case_046,1,276455.0,,276455.0,244994.0,,1.0,1.1284153897646474,0.7530304668077024,3120992
case_046,2,276455.0,166578.0,166578.0,137552.0,1.6596129140702853,1.6596129140702853,1.2110183785041293,0.573590037825662,2591232
case_046,3,276455.0,142176.0,142176.0,121494.0,1.9444561670042764,1.9444561670042764,1.1702306286730209,0.4306133122432839,2160480
case_046,4,276455.0,124612.0,124612.0,105932.0,2.218526305652746,2.218526305652746,1.176339538571914,0.3126655206058635,1722752
case_046,5,276455.0,131039.0,131039.0,108388.0,2.10971542823129,2.10971542823129,1.2089806989703658,0.3023482428115016,1816992
case_047,1,326508.0,,326508.0,326508.0,,1.0,1.0,0.0,0
case_047,2,326508.0,326508.0,326508.0,326508.0,1.0,1.0,1.0,0.0,0
case_047,3,326508.0,326508.0,326508.0,326508.0,1.0,1.0,1.0,0.0,0
case_047,4,326508.0,326508.0,326508.0,326508.0,1.0,1.0,1.0,0.0,0
case_047,5,326508.0,326508.0,326508.0,326508.0,1.0,1.0,1.0,0.0,0
case_048,1,222220.0,,222220.0,222220.0,,1.0,1.0,0.0,0
case_048,2,222220.0,222220.0,222220.0,222220.0,1.0,1.0,1.0,0.0,0
case_048,3,222220.0,222220.0,222220.0,222220.0,1.0,1.0,1.0,0.0,0
case_048,4,222220.0,222220.0,222220.0,222220.0,1.0,1.0,1.0,0.0,0
case_048,5,222220.0,222220.0,222220.0,222220.0,1.0,1.0,1.0,0.0,0
case_049,1,196276.0,,196276.0,196276.0,,1.0,1.0,0.0,0
case_049,2,196276.0,160206.0,160206.0,160206.0,1.2251476224361135,1.2251476224361135,1.0,0.0,0
case_049,3,196276.0,160224.0,160224.0,160224.0,1.2250099860195727,1.2250099860195727,1.0,0.0,0
case_049,4,196276.0,160242.0,160242.0,160242.0,1.2248723805244568,1.2248723805244568,1.0,0.0,0
case_049,5,196276.0,160260.0,160260.0,160260.0,1.224734805940347,1.224734805940347,1.0,0.0,0
