case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_085,4,3.5704754438035504,3.8015397439245584,892850,838581,6393754,5003666
case_085,5,3.985815398887987,4.271651042755383,799811,746292,9685570,10855448
case_086,2,1.5925084061869537,1.8834187000922598,74350,62866,867194,418278
case_086,3,2.108615899700812,2.4389857042804763,56152,48546,1233928,1081164
case_086,4,2.4981116948330064,3.0362857728997845,47397,38996,1201206,952434
case_086,5,2.4179174579836222,2.814227651938298,48969,42073,1602402,1934424
case_087,2,2.0018148994022873,2.0018148994022873,1985234,1985234,9999360,9999360
case_087,3,2.8688412874760063,2.8688412874760063,1385253,1385253,10722816,10722816
case_087,4,3.715262125103187,3.715262125103187,1069661,1069661,11796480,11796480
case_087,5,4.472766582930409,4.472766582930409,888504,888504,11773440,11773440
case_088,2,1.658551695497961,1.7933367194458554,146889,135849,1265738,850054
case_088,3,2.071307112856876,2.5348087107615154,117618,96111,1740380,1473104
case_088,4,2.331677577428123,2.7830542164545684,104484,87538,2142060,2048310
case_088,5,2.423844156360995,2.804680934344888,100511,86863,2205234,2220472
case_089,2,1.998350786547954,1.998350786547954,346832,346832,238720,238720
case_089,3,2.8450417463692563,2.8450417463692563,243614,243614,477440,477440
case_089,4,3.8902784014369107,3.8902784014369107,178160,178160,716160,716160
case_089,5,4.701096098540344,4.701096098540344,147432,147432,954880,954880
case_090,2,1.7004040462344334,2.442856224773048,692990,482371,19093104,2171520
case_090,3,2.0823107589434025,3.41304203004753,565892,345253,19430136,4596480
case_090,4,2.253898636409716,3.9659898289226128,522811,297117,19748184,6744960
case_090,5,2.223544574184637,4.125054260309459,529948,285660,20254728,8893440
case_091,2,2.0014546695174733,2.0014546695174733,4590046,4590046,57827296,57827296
case_091,3,2.9916445470884057,2.9916445470884057,3070809,3070809,63099200,63099200
case_091,4,3.967460135459327,3.967460135459327,2315529,2315529,67391136,67391136
case_091,5,4.900909200998878,4.895599658093423,1874503,1876536,71279104,69999104
case_092,2,1.702660866146298,1.702660866146298,2828252,2828252,66389088,66389088
case_092,3,2.157695747476033,3.4983639855984237,2231804,1376516,66784736,10577088
case_092,4,2.4980464048869964,4.680343555038493,1927728,1028889,67180384,6657824
case_092,5,2.89878126741928,5.873916225512917,1661234,819820,66980256,4524416
case_093,2,1.9616940280751844,1.9616940280751844,37827,37827,8192,8192
case_093,3,2.956021192686133,2.956021192686133,25103,25103,16384,16384
case_093,4,3.751706355225239,3.751706355225239,19779,19779,24576,24576
case_093,5,4.674036281179139,4.674036281179139,15876,15876,32768,32768
case_094,2,1.7699108441824896,1.7699108441824896,53614,53614,106272,106272
case_094,3,2.37890145152799,2.37890145152799,39889,39889,212544,212544
