case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_079,3,3.049812447675691,3.049812447675691,10181692,10181692,39960576,39960576
case_079,4,4.066760097144647,4.066760097144647,7635624,7635624,30445568,30445568
case_079,5,5.110660575354478,5.110660575354478,6075976,6075976,47677440,47677440
case_080,2,2.0019598974822856,1.8674004896414622,145926,156441,2191360,3076096
case_080,3,2.9119162721156244,2.9185198505464647,100325,100098,3047424,983040
case_080,4,2.8877093094517923,3.1528291909042836,101166,92659,3452928,2584576
case_080,5,2.9119162721156244,2.574923978669957,100325,113455,3047424,4571136
case_081,2,1.9749544626593807,1.9749544626593807,76860,76860,0,0
case_081,3,2.9223379473653814,2.9223379473653814,51943,51943,0,0
case_081,4,3.834369000707285,3.834369000707285,39588,39588,0,0
case_081,5,4.905632937982743,4.905632937982743,30943,30943,0,0
case_082,2,1.9002216359951614,1.972455581239485,379451,365555,1237914,567942
case_082,3,2.694281796135551,2.888982823349347,267619,249583,1844266,1538572
case_082,4,3.305116910143519,3.56303646345501,218159,202367,1693882,1418386
case_082,5,3.4892738754869463,3.840656443253666,206645,187739,2687818,2829592
case_083,2,1.6411337858631987,2.3626990330288753,644672,447790,14241216,930400
case_083,3,2.0638812538649263,3.4342951370968002,512623,308067,14842752,1860800
case_083,4,2.350944050272316,4.710376699063707,450029,224609,14977600,2791200
case_083,5,2.3910527029470257,5.369596110315986,442480,197034,15058048,3721600
case_084,2,1.9978550689533183,1.9978550689533183,1255052,1255052,0,0
case_084,3,2.998507569778288,2.998507569778288,836220,836220,0,0
case_084,4,3.986169137144928,3.986169137144928,629028,629028,0,0
case_084,5,4.98024120507198,4.98024120507198,503472,503472,0,0
case_085,2,1.9322262885654402,1.917201110424179,1649858,1662788,4875082,2148486
case_085,3,2.6786973791123887,2.83023888221554,1190093,1126371,7265394,5683212
