case,cores,singlecore_cycles,q1_makespan_cycles,q1_added_copy_bytes,q1_speedup,q2_makespan_cycles,q2_added_copy_bytes,q2_speedup
case_027,3,2363952.0,878130,15302656,2.6920296539236785,837049,3686400,2.8241500796249683
case_027,4,2363952.0,559196,3317760,4.227412213249022,559196,3317760,4.227412213249022
case_027,5,2363952.0,638496,22044672,3.702375582619155,558753,5529600,4.230763861670542
case_028,2,43836040.0,23638628,277473600,1.8544240384848054,20602291,41688192,2.1277264746915767
case_028,3,43836040.0,16770711,277369056,2.613845054034978,13582878,27152640,3.227301312726213
case_028,4,43836040.0,12659087,371649024,3.462812128552399,10343971,23009664,4.237834773512029
case_028,5,43836040.0,11491035,277818912,3.814803453300769,8242960,21778944,5.317997418403098
case_029,2,37555.0,19740,0,1.9024822695035462,19740,0,1.9024822695035462
case_029,3,37555.0,12743,0,2.9471082162756024,12743,0,2.9471082162756024
case_029,4,37555.0,11028,0,3.405422560754443,11028,0,3.405422560754443
case_029,5,37555.0,9383,0,4.002451241607162,9383,0,4.002451241607162
case_030,2,2808034.0,1401423,6940672,2.003701951516423,1401423,6940672,2.003701951516423
case_030,3,2808034.0,933969,9071616,3.0065601749094455,933969,9071616,3.0065601749094455
case_030,4,2808034.0,699591,8632320,4.0138223619228945,708655,6354536,3.9624838602705124
case_030,5,2808034.0,561192,11644416,5.0036957048568045,561192,11644416,5.0036957048568045
case_031,2,1414369.0,735345,5564928,1.923408740115184,735345,5564928,1.923408740115184
case_031,3,1414369.0,486363,5018112,2.9080522161430866,486363,5018112,2.9080522161430866
case_031,4,1414369.0,398198,7971840,3.5519239172471986,398198,7971840,3.5519239172471986
case_031,5,1414369.0,308135,8217600,4.590095250458403,308135,8217600,4.590095250458403
case_032,2,41443.0,21880,6216,1.8941042047531993,21880,6216,1.8941042047531993
case_032,3,41443.0,15402,12360,2.690754447474354,15402,12360,2.690754447474354
case_032,4,41443.0,14274,12360,2.9033907804399606,14274,12360,2.9033907804399606
case_032,5,41443.0,10415,12360,3.9791646663466156,10415,12360,3.9791646663466156
case_033,2,1774196.0,897883,6229536,1.975976825488399,936496,7731434,1.894504621482633
case_033,3,1774196.0,604202,7803456,2.9364285454202403,623371,6634254,2.8461317578135654
case_033,4,1774196.0,460454,7531104,3.853144939559652,482080,9210708,3.6802937271822103
case_033,5,1774196.0,376794,8297088,4.708663089115007,362856,8163996,4.889531935533655
case_034,2,842996.0,418129,1648128,2.016114644045259,418129,1648128,2.016114644045259
case_034,3,842996.0,282515,2638336,2.9838982000955703,282515,2638336,2.9838982000955703
case_034,4,842996.0,213112,3176960,3.955647734524569,213112,3176960,3.955647734524569
case_034,5,842996.0,178096,3536896,4.733379750247058,178096,3536896,4.733379750247058
case_035,2,169571.0,95406,0,1.7773620107750037,95406,0,1.7773620107750037
case_035,3,169571.0,96564,894876,1.756047802493683,92120,1214380,1.8407620495006514
case_035,4,169571.0,67898,583578,2.4974373324692922,74735,1211328,2.268963671639794
case_035,5,169571.0,62135,968258,2.729073790939084,74644,1568002,2.2717298108354322
case_036,2,931510.0,466068,1152,1.998656848356892,466068,1152,1.998656848356892
case_036,3,931510.0,311345,2304,2.991890025534375,311345,2304,2.991890025534375
