returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,7.115152799997304,case_035,4,95406,95442,169571,1.7773620107750037,95442,1.7766916032773832,reuse_pack_k2,4,0
0,3.692811300003086,case_035,5,62135,69979,169571,2.729073790939084,95460,1.7763565891472868,greedy_schedule,3,968258
0,1.6014484999977867,case_036,2,466068,466068,931510,1.998656848356892,466068,1.998656848356892,component_baseline,1,1152
0,1.381435800001782,case_036,3,311345,311345,931510,2.991890025534375,311345,2.991890025534375,component_baseline,1,2304
0,1.2496590000009746,case_036,4,233584,233584,931510,3.987901568600589,233584,3.987901568600589,component_baseline,1,3456
0,1.1709307999990415,case_036,5,187182,187182,931510,4.976493466252097,187182,4.976493466252097,component_baseline,1,4608
0,0.40331940000032773,case_037,2,105374,105374,210001,1.992910964754114,105374,1.992910964754114,component_baseline,1,204800
0,0.8753355000008014,case_037,3,74038,74038,210001,2.836394824279424,74038,2.836394824279424,component_baseline,3,1064960
0,0.4330688000045484,case_037,4,53320,53320,210001,3.938503375843961,53320,3.938503375843961,component_baseline,1,614400
0,0.6411607000045478,case_037,5,43800,43800,210001,4.794543378995434,43800,4.794543378995434,component_baseline,2,1925120
0,27.776272499999322,case_038,2,683459,683459,1364555,1.996542587046187,683459,1.996542587046187,component_baseline,3,6094848
0,38.19090739999956,case_038,3,456925,462076,1364555,2.986387262679871,462076,2.9530964603225445,valley_w2,4,8155140
0,36.86548529999709,case_038,4,344979,346382,1364555,3.955472651958525,346382,3.9394512416926974,greedy_schedule,4,9466884
0,21.725790299999062,case_038,5,280919,280919,1364555,4.857467811006019,280919,4.857467811006019,component_baseline,2,9070080
0,9.905857499994454,case_039,2,708561,708561,1435262,2.025601183243221,708561,2.025601183243221,component_baseline,1,11067392
0,19.786976999996114,case_039,3,485565,485565,1435262,2.9558596686334475,485565,2.9558596686334475,component_baseline,3,14323712
0,9.63886310000089,case_039,4,395323,395323,1435262,3.6306058590064327,395323,3.6306058590064327,component_baseline,1,17604608
0,18.314361500000814,case_039,5,395323,395323,1435262,3.6306058590064327,431161,3.3288307615948565,reuse_pack_k4,2,17604608
0,3.91393949999474,case_040,2,144027,144027,253454,1.7597672658598735,144027,1.7597672658598735,component_baseline,3,12288
0,5.19084809999913,case_040,3,110105,110105,253454,2.301929975932065,110105,2.301929975932065,component_baseline,4,0
0,5.012614100000064,case_040,4,110105,110202,253454,2.301929975932065,110202,2.2999038129979494,reuse_pack_k3,4,0
