returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,1.8454531000024872,case_055,2,63872,65764,118835,1.8605179108216432,65764,1.8069916671735295,terminal_w2,5,287316
0,1.4853654000035021,case_055,3,43687,43687,118835,2.7201455810653057,43687,2.7201455810653057,component_baseline,4,115712
0,1.2248041000057128,case_055,4,31367,31367,118835,3.788535722255874,31367,3.788535722255874,component_baseline,3,115712
0,1.2996129000021028,case_055,5,26781,26781,118835,4.437287629289422,26781,4.437287629289422,component_baseline,3,198656
0,8.07859119999921,case_056,2,195117,195117,277285,1.4211216859627813,265710,1.0435625305784502,valley_w3,3,4348654
0,7.190438899997389,case_056,3,146011,146011,277285,1.8990692482073268,265728,1.0434918412813101,valley_w4,3,3799188
0,8.731446999998298,case_056,4,146032,148412,277285,1.8987961542675578,265746,1.0434211615602869,greedy_schedule,3,4613390
0,8.518062700000883,case_056,5,134454,135374,277285,2.062303836256266,265764,1.0433504914134344,greedy_schedule,3,4364564
0,0.7804055999949924,case_057,2,33730,33730,59726,1.7707085680403203,33730,1.7707085680403203,component_baseline,3,288
0,0.9471542000028421,case_057,3,25250,25250,59726,2.3653861386138613,25250,2.3653861386138613,component_baseline,4,288
0,0.9927379000000656,case_057,4,20957,20957,59726,2.8499308107076393,20957,2.8499308107076393,component_baseline,4,288
0,0.9791980000009062,case_057,5,16538,16538,59726,3.6114403192647235,16538,3.6114403192647235,component_baseline,4,27936
0,218.85916780000116,case_058,2,2271316,2271316,4539717,1.9987166030618373,2271316,1.9987166030618373,component_baseline,3,33431552
0,105.21739800000068,case_058,3,1554831,1554831,4539717,2.9197494775959574,1554831,2.9197494775959574,component_baseline,3,30400512
0,170.5224831000014,case_058,4,1154519,1154519,4539717,3.9321284448328697,1154519,3.9321284448328697,component_baseline,3,42622976
0,60.30544159999408,case_058,5,1004819,1004819,4539717,4.517945022934478,1004819,4.517945022934478,component_baseline,3,32104448
